ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	APC
APC	CREBBP
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
EP300	ARNT
EP300	CREB1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
EP300	NFKB1
SFPQ	PPARG
AP2M1	BCR
BCR	TP53
EP300	ETS1
AP2M1	CSNK2B
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
PPARG	RXRG
SFPQ	SP3
EEF1A1	GADD45G
GADD45G	PPARA
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	PER1
PER1	GAS1
GAS1	ATF1
EP300	RARA
SFPQ	HDAC1
HDAC1	GLI2
HDAC1	GLI3
EP300	STAT3
AP2M1	NUMB
NUMB	GLI1
GADD45G	PPARD
AP2M1	HSPA8
HSPA8	RELA
HSPA8	POU2F1
APC	EPAS1
EP300	FOS
CSNK2B	MYC
AP2M1	ACTB
ACTB	KAT2B
KAT2B	PTF1A
PTF1A	RBPJL
AP2M1	AP1G2
AP1G2	KDM1A
KDM1A	RBPJ
HSPA8	ESR1
EP300	STAT1
AP2M1	SPTBN1
SPTBN1	SMAD3
EEF1A1	FUS
FUS	SPI1
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
DTNA	ACTB
ACTB	EP300
RELA	HIF1A
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
GOPC	TGFBR2
TGFBR2	HSP90AA1
RELA	NFKB1
RELA	PPARG
DTNA	NMT1
NMT1	TP53
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	SP3
RELA	PPARA
EP300	TFAP2A
CREBBP	ATF1
DTNA	TJP1
TJP1	ACTN4
ACTN4	RARA
RELA	HDAC1
CREBBP	GLI3
RELA	STAT3
KAT2B	GLI1
NUP62	CTNNB1
CTNNB1	PPARD
RELA	POU2F1
EP300	EPAS1
RELA	FOS
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
DTNA	PSEN1
PSEN1	NOTCH1
NOTCH1	RBPJ
ACTB	ESR1
GOPC	KPNA1
KPNA1	STAT1
RELA	SMAD3
GOPC	CDC42
CDC42	VAV1
VAV1	SPI1
KCNH2	HSP90AA1
HSP90AA1	SP1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
ABL1	CREB1
YWHAE	HDAC4
HDAC4	NFKB1
YWHAE	XPO1
XPO1	PPARG
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS1
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
ESR1	SP3
YWHAE	NPM1
NPM1	TFAP2A
KCNH2	CDC73
CDC73	VPH2
VPH2	ATF1
HSPA8	UBE3A
UBE3A	RARA
YWHAE	CHAF1A
CHAF1A	HDAC1
YWHAE	CSNK1A1
CSNK1A1	GLI3
HSP90AA1	STAT3
HSPA8	CDK4
CDK4	GLI1
HSP90AA1	PPARD
HSP90AA1	EPAS1
ABL1	FOS
HSP90AA1	MYC
YWHAE	MAPK14
MAPK14	KAT2B
HSP90AA1	KAT5
KAT5	RBPJ
XPO1	STAT1
KCNH2	NEDD4L
NEDD4L	SMAD3
CDC73	DEP1
DEP1	SPI1
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
UCHL1	TP53
TP53	CREB1
UCHL1	COPS5
COPS5	NFKB1
CTNNB1	PPARG
UCHL1	UBE2I
UBE2I	ETS1
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
UBE2I	PPARA
GNAI2	NPM1
NPM1	BRCA1
BRCA1	ATF1
AJUBA	RARA
NPM1	HDAC1
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
ITCH	GLI1
NPM1	RELA
UCHL1	HSPA8
NPM1	EPAS1
UBE2I	FOS
UCHL1	CDK4
CDK4	MYC
CTNNB1	KAT2B
ITCH	NOTCH1
GNB1	PAK1
