ADRA1B	AP2M1
AP2M1	APC
APC	CREBBP
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
EP300	ARNT
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
EP300	CREB1
EP300	ETS1
AP2M1	PER1
PER1	GAS1
GAS1	ATF1
EP300	NFKB1
AP2M1	BCR
BCR	TP53
AP2M1	HSPA8
HSPA8	RELA
AP2M1	EPS15
EPS15	TFAP2A
HSPA8	UBE3A
UBE3A	CEBPA
AP2M1	SPTBN1
SPTBN1	SMAD3
EP300	STAT3
EP300	USF2
SFPQ	PPARG
HSPA8	ESR1
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
ADRA1D	GOPC
GOPC	RELA
RELA	HIF1A
RELA	JUN
DTNA	NUP62
NUP62	SP1
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
CREBBP	ATF1
RELA	NFKB1
DTNA	NMT1
NMT1	TP53
EP300	TFAP2A
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
RELA	SMAD3
RELA	STAT3
RELA	USF2
RELA	PPARG
ACTB	ESR1
KCNH2	YWHAE
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
KCNH2	HSP90AA1
HSP90AA1	HIF1A
HSP90AA1	ARNT
YWHAE	ABL1
ABL1	JUN
HSP90AA1	SP1
ABL1	CREB1
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS1
KCNH2	CDC73
CDC73	VPH2
VPH2	ATF1
YWHAE	HDAC4
HDAC4	NFKB1
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	C1QBP
C1QBP	CEBPA
KCNH2	NEDD4L
NEDD4L	SMAD3
HSP90AA1	STAT3
YWHAE	XPO1
XPO1	PPARG
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
CTNNB1	SP1
UCHL1	TP53
TP53	CREB1
UCHL1	UBE2I
UBE2I	ETS1
GNAI2	NPM1
NPM1	BRCA1
BRCA1	ATF1
UCHL1	COPS5
COPS5	NFKB1
NPM1	RELA
UCHL1	CDK4
CDK4	CEBPA
ITCH	SMAD3
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
BRCA1	USF2
CTNNB1	PPARG
GNB1	PAK1
PAK1	ESR1
ADRA2B	UCHL1
UBE2I	JUN
CTNNB1	BRCA1
TP53	RELA
TP53	TFAP2A
TP53	SMAD3
CTNNB1	ESR1
GLI2	WNT2B
GLI3	WNT16
MAPK14	CXCL1
CTNNB1	CCND2
ELK1	XIAP
ELK1	CCND1
JUN	CCND2
NFATC2	TNF
NFATC4	TNF
NFKB1	TNF
MAPK10	SMAD4
CREB3L2	IL8
CREB3L2	PCNA
CREB3L3	IL8
CREBBP	LDHA
CREBBP	NOS2
CREBBP	SERPINE1
CREBBP	PFKFB4
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	TFRC
EP300	LDHA
EP300	NOS2
EP300	SERPINE1
EP300	PFKFB4
EP300	BCL2
EP300	SLC2A1
EP300	TFRC
HIF1A	LDHA
HIF1A	NOS2
HIF1A	SERPINE1
SMAD4	ID4
TEAD4	AXIN1
CREB3L2	MITF
BBC3	TP53AIP1
TP53	RRM2
MYC	IL8
NFKB1	CEBPG
NFYC	HLA-DPA1
MAPK1	IL18
MAPK1	NOS2
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL12B
MAPK11	NOS2
RFX5	HLA-DRB5
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
ESR1	FOS
ESR2	FOS
FLI1	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
POU2F2	SPP1
JUN	TFF1
