ADRA1B	AP2M1
AP2M1	APC
APC	CREBBP
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
EP300	ARNT
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
AP2M1	SPTBN1
SPTBN1	SMAD3
SPTBN1	SMAD4
EP300	STAT3
EP300	ETS1
EP300	JUND
EP300	CREB1
EP300	FOS
EP300	STAT1
AP2M1	HSPA8
HSPA8	HTT
HTT	ETV4
EP300	JUNB
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
SFPQ	PPARG
AP2M1	BCR
BCR	TP53
EP300	NFKB1
HSPA8	ESR1
EEF1A1	GADD45G
GADD45G	PPARA
EP300	USF2
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
ADRA1D	GOPC
GOPC	RELA
RELA	HIF1A
EP300	TFAP2A
RELA	JUN
DTNA	NUP62
NUP62	SP1
RELA	SMAD3
RELA	SMAD4
RELA	STAT3
ADRA1D	ACTA2
ACTA2	TPM1
TPM1	JUND
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
RELA	FOS
GOPC	KPNA1
KPNA1	STAT1
AMFR	HTT
GOPC	TGFBR2
TGFBR2	HSP90AA1
RELA	PPARG
DTNA	NMT1
NMT1	TP53
RELA	NFKB1
ACTB	ESR1
RELA	PPARA
RELA	USF2
KCNH2	YWHAE
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
KCNH2	HSP90AA1
HSP90AA1	HIF1A
HSP90AA1	ARNT
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	ABL1
ABL1	JUN
HSP90AA1	SP1
KCNH2	NEDD4L
NEDD4L	SMAD3
YWHAE	NCBP1
NCBP1	SMAD4
HSP90AA1	STAT3
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS1
HSP90AA1	MDM2
MDM2	JUND
ABL1	CREB1
ABL1	FOS
YWHAE	XPO1
XPO1	STAT1
NPM1	JUNB
XPO1	PPARG
YWHAE	HDAC4
HDAC4	NFKB1
HSP90AA1	PPARA
HSPA8	RELA
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
ADRA2A	GNAI2
GNAI2	NPM1
GNAI2	ITCH
ITCH	JUN
CTNNB1	SP1
ITCH	SMAD3
UCHL1	COPS5
COPS5	SMAD4
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
UCHL1	UBE2I
UBE2I	ETS1
COPS5	JUND
UCHL1	TP53
TP53	CREB1
UBE2I	FOS
MTOR	STAT1
ITCH	HTT
CTNNB1	PPARG
COPS5	NFKB1
GNB1	PAK1
PAK1	ESR1
UBE2I	PPARA
NPM1	BRCA1
BRCA1	USF2
ADRA2B	UCHL1
TP53	TFAP2A
UBE2I	JUN
TP53	SMAD3
UBE2I	STAT1
UBE2I	TP63
TP63	ETV4
CTNNB1	ESR1
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
ELK1	BIRC2
JUN	CCND2
CREB3	PCNA
EGR3	FASLG
MAPK8	JUN
MAPK10	SMAD4
RELA	MMP9
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	FIGF
CREBBP	ANGPT4
CREBBP	PFKFB4
CREBBP	PGF
CREBBP	TFRC
CREBBP	VEGFB
EP300	FIGF
EP300	ANGPT4
EP300	PFKFB4
EP300	PGF
EP300	TFRC
EP300	VEGFB
HIF1A	FIGF
HIF1A	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
HNF1A	HNF4G
ETS1	VEGFB
NFKB1	CCND1
MAPK1	IL18
MAPK1	NOS2
MAPK11	IL12B
MAPK11	NOS2
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
E2F4	CAV1
SP1	CAV1
JUN	CYP11A1
ETS2	IL5
JUND	IL5
POU2F2	IL5
SPI1	IL5
ATF1	IL6
TFAP2A	ITGA2
HIF1A	ITGB2
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
E2F1	MYB
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
