STAT3	PIM1
GLI3	WNT5A
TFDP2	CCNE2
NPAS2	PER2
CLOCK	RORC
JUN	CCND2
CREB3L4	PCNA
MAPK8	SMAD4
CREB3L3	IL8
CREBBP	EPO
CREBBP	PDK1
CREBBP	TFRC
EP300	EPO
EP300	PDK1
EP300	TFRC
HIF1A	EPO
HIF1A	PDK1
HIF1A	VEGFA
ARNT	ENO2
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ITGB2
YAP1	CCND2
WWTR1	AREGB
SMAD3	CTGF
TEAD1	BIRC2
TEAD3	MYC
STAT4	SOCS1
STAT5A	SOCS7
STAT5B	CCND1
STAT6	SOCS4
CREB3L4	MITF
LEF1	MITF
CREB3L3	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
FOXO3	CDKN1B
PPARA	ACSBG2
RXRA	APOA5
RXRA	ACSBG1
RXRA	PLIN1
RXRA	UBC
RXRA	UCP1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRB	ACSL4
RXRB	GK2
RXRB	CYP4A22
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRB	SCP2
NFYA	CD74
NFYC	LOC100509457
NFYC	LOC101060835
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL6
MAPK1	IL12A
MAPK1	IL18
MAPK1	NOS2
MAPK3	IL23A
MAPK3	TNF
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
RFX5	HLA-DRB3
RFX5	HLA-DRB4
RFXAP	LOC100507714
RFXAP	HLA-DMA
RFXAP	HLA-DMB
EGR1	ABCB1
EGR2	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
CREB1	ARG1
SP1	CD9
MYC	CDC25A
E2F4	CDC45
TFAP2A	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFKB1	GADD45A
POU2F1	HIST2H2BE
FOS	HLA-DRA
RARB	JUN
BCL6	NFKB1
ETS1	TFRC
ELK1	TNF
STAT1	TP53
FOS	TSHB
