GABRA1	PRKCD
PRKCD	STAT3
STAT3	RELA
PRKCD	TP53
STAT3	NFKB1
STAT3	NFKB2
STAT3	HIF1A
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	RELA
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	STAT3
TRAF6	HIF1A
GABRA4	APP
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	TP53
APP	GSK3B
GSK3B	NFKB1
APP	HGS
HGS	TSG101
TSG101	NFKB2
APP	MCM7
MCM7	HIF1A
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	PRMT5
PRMT5	RELA
YWHAZ	TP53
YWHAZ	COPS5
COPS5	NFKB1
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
YWHAZ	CTNNB1
CTNNB1	HIF1A
CHRNA7	FYN
FYN	NR3C1
NR3C1	RELA
NR3C1	TP53
FYN	BCL3
BCL3	NFKB1
BCL3	NFKB2
FYN	CTNNB1
GRIA2	GRIP1
GRIP1	CREBBP
CREBBP	RELA
GRIA2	SDCBP
SDCBP	TRIM32
TRIM32	TP53
GRIP1	HDAC1
HDAC1	NFKB1
SDCBP	SIAH1
SIAH1	STAT3
SDCBP	TRAF6
GRIK2	DLG1
DLG1	BTRC
BTRC	RELA
GRIK2	SDCBP
BTRC	NFKB1
BTRC	NFKB2
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	COPS6
COPS6	NFKB1
NOD1	UBC
UBC	TSG101
NOD1	PSMA7
PSMA7	HIF1A
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	RELA
GSK3B	TP53
TRAK2	PRKAB2
PRKAB2	REL
REL	NFKB2
PRKAB2	GNB2L1
GNB2L1	HIF1A
GABRB3	MEOX2
MEOX2	RELA
RELA	TP53
RELA	NFKB1
RELA	NFKB2
RELA	HIF1A
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	VCP
VCP	NFKB2
UBQLN1	RAD23B
RAD23B	HIF1A
GABRE	HLA-A
HLA-A	STAT3
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
GABRG2	GABARAP
GABARAP	KEAP1
KEAP1	RELA
GABARAP	DVL2
DVL2	TP53
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
TAX1BP1	TNFAIP3
GABARAP	SQSTM1
SQSTM1	HIF1A
NFKB1	BIRC2
RELA	BIRC2
HIF1A	EGF
HIF1A	TIMP1
NFKB1	TRAF5
NFKB2	BIRC2
NFKB2	TRAF5
RELA	TRAF5
TP53	BAK1
RELA	HDAC1
TP53	PLK1
