SLC22A6	APP
APP	MAPK8
MAPK8	SP1
APP	PHF8
PHF8	RARA
MAPK8	CEBPA
CEBPA	RARB
MAPK8	NCOA3
NCOA3	RARG
MAPK8	JUND
APP	MAPK7
MAPK7	FOS
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK8	TP53
APP	HGS
HGS	TSG101
TSG101	NFKB2
HGS	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
APP	TAF6
TAF6	YAP1
HGS	INSR
INSR	TEAD1
APP	MCM7
MCM7	TRIM27
TRIM27	TEAD4
APP	KAT5
KAT5	E2F1
E2F1	TEAD3
GSK3B	RELB
KAT5	CREB1
APP	MYC
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
GSK3B	SMAD3
MAPK8	STAT3
MYC	TFAP2A
MAPK7	ETS1
MAPK8	JUN
APP	HDAC4
HDAC4	STAT1
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
ELAVL1	NFIC
APP	CSNK1D
CSNK1D	SMAD4
APP	ELK1
APP	C9orf41
C9orf41	NR3C2
APP	YWHAG
YWHAG	WWTR1
MYC	SMAD7
MAPK8	CTNNB1
CTNNB1	PPARD
AKAP13	PPARA
APP	HSPA8
HSPA8	POU2F1
KAT5	MYB
EEF1D	HCFC1
HCFC1	E2F4
APP	DDX54
DDX54	ESR1
KAT5	TP73
MAPK8	ATF2
ATF2	ATF1
APP	RFX5
RFX5	PPARG
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
MAPK8	PIAS2
PIAS2	STAT4
APP	CLSTN1
CLSTN1	TRIP12
TRIP12	PTF1A
PTF1A	RBPJL
KAT5	RBPJ
MAPK8	HSF1
SHC1	SOS1
SHC1	SOS2
PANX1	GNAS
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	RUVBL1
RUVBL1	RARA
C1QBP	CEBPA
C1QBP	MRPL12
MRPL12	RARG
RUVBL1	ELAVL1
ELAVL1	JUND
CEBPA	FOS
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GNAS	AXIN1
AXIN1	TP53
NFKBIE	NFKB2
RUVBL1	LEF1
LEF1	DAZAP2
RUVBL1	CTNNB1
CTNNB1	TCF7L2
CTNNB1	TCF7L1
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	PRKCD
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
GNAS	NUCB1
NUCB1	REL
REL	RELB
RUVBL1	CREBBP
CREBBP	CREB1
AXIN1	MYC
PRKCD	EP300
GIPC1	MCM7
CREBBP	SMAD3
GNAS	HLA-A
HLA-A	STAT3
GIPC1	SH3BP4
SH3BP4	TFAP2A
CREBBP	ETS1
C1QBP	PRKD1
PRKD1	JUN
GNAS	GNB2
GNB2	STAT1
RUVBL1	UBE2I
UBE2I	RXRA
RARA	RXRB
RARA	RXRG
LEF1	SMAD4
CREBBP	ELK1
GNAS	SHMT2
SHMT2	CAND1
CAND1	NR3C2
SHMT2	YWHAZ
YWHAZ	WWTR1
SHMT2	HDAC6
HDAC6	SMAD7
C1QBP	DAP3
DAP3	PPARA
C1QBP	HSPA8
GNAS	PAICS
PAICS	CHD3
CHD3	MYB
CEBPA	E2F4
GIPC1	MMS19
MMS19	ESR1
C1QBP	HSPA9
HSPA9	TP73
CREBBP	ATF1
C1QBP	PRKCA
PRKCA	PPARG
LEF1	STAT5A
SHMT2	ELP2
ELP2	STAT5B
PAICS	TKT
TKT	STAT4
NUCB1	PRKDC
PRKDC	KAT2A
KAT2A	PTF1A
PAICS	HSPB1
HSPB1	RBPJ
NUCB1	CBS
CBS	HSF1
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
CREB3L1	CRH
ATF6B	ARC
ATF4	ARC
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
JUN	RELA
LEF1	MYC
TCF7	BIRC5
MAPK14	CXCL1
ELK1	XIAP
CREB3	PCNA
CREBBP	FASLG
MAPK8	JUN
CREB3L2	IL8
CREB3L1	PCNA
CREBBP	EGF
CREBBP	ANGPT4
CREBBP	BCL2
CREBBP	VEGFB
EP300	EGF
EP300	ANGPT4
EP300	BCL2
EP300	VEGFB
HIF1A	EGF
HIF1A	ANGPT4
HIF1A	TEK
HIF1A	TFRC
HIF1A	TIMP1
ARNT	EDN1
ARNT	FIGF
ARNT	ANGPT2
ARNT	HK2
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	ID1
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AREGB
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BIRC5
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD2	CTGF
SMAD2	SERPINE1
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
SOS1	SPRY3
STAT5A	SOCS5
STAT5B	SOCS4
STAT6	CCND2
STAT6	CCND3
HNF1A	HNF4A
CREB1	MITF
PIK3R2	AKT3
BBC3	TP53
EPAS1	PDGFB
EPAS1	TGFA
FOS	VEGFB
HIF1A	TGFB1
JUN	FIGF
MAX	CKS2
NFKB1	TRAF3
NFKB2	TRAF2
NFKB2	TRAF4
CREB1	BCL2
FOXO3	PCK2
ATF4	BCL2
CREB3L1	MCL1
PPARA	CYP7A1
PPARA	ACSL1
PPARA	ACOX1
PPARD	CPT1C
PPARD	ACADL
PPARD	UCP1
PPARG	CYP27A1
PPARG	ACSBG1
PPARG	UCP1
RXRA	CPT2
RXRA	CYP27A1
RXRA	ACSL3
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	CD74
MAPK1	IL23A
MAPK3	IL12A
MAPK8	NOS2
MAPK8	IL23A
RFX5	LOC100507714
PDX1	INS
CREB3	AQP2
CREB1	AQP2
NFATC4	PTGS2
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
ESR1	APOE
USF2	APOE
TP53	BAK1
ATF1	BCL2
CEBPA	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
TP53	CAV1
USF1	CCND1
JUN	CYP11A1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
CEBPA	GADD45A
CREB1	GH2
NFIC	GH2
TFAP2A	GH2
USF1	GH2
EGR1	IFNG
REL	IFNG
STAT1	IFNG
CEBPD	IL1B
CREB1	IL1B
SP1	KRT5
TFAP2A	KRT5
SP3	LCAT
ETS1	LCK
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
E2F1	MYB
RELA	MYC
SP1	MYC
JUND	PLAT
CEBPB	PRL
CEBPB	PTGS2
REL	TNFSF10
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SP3	TNNC1
SP3	TNPO1
POU2F1	TXNRD1
CEBPA	UBE2L3
PAX1	VHL
ETS1	VWF
NFIC	VWF
