GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	GNB2L1
GNB2L1	HIF1A
TRAK2	GSK3B
GSK3B	RELA
GSK3B	NFKB1
GSK3B	TP53
TP53	TFAP2A
RELA	PPARA
GABRB3	MEOX2
MEOX2	RELA
RELA	HIF1A
RELA	NFKB1
GABRB3	PRKCA
PRKCA	EP300
EP300	TFAP2A
RELA	TP53
SCN4A	SLC9A3R1
SLC9A3R1	CAPN1
CAPN1	HIF1A
SLC9A3R1	RPS3
RPS3	RELA
RPS3	NFKB1
SLC9A3R1	YWHAZ
YWHAZ	TP53
SCN4A	CALM1
CALM1	HSP90AA1
HSP90AA1	PPARA
SCN2A	ANK3
ANK3	TIAM1
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	HIF1A
TIAM1	BTRC
BTRC	RELA
BTRC	NFKB1
BTRC	EP300
BTRC	TP53
GABRA1	PRKCD
PRKCD	STAT3
STAT3	HIF1A
STAT3	RELA
STAT3	NFKB1
PRKCD	EP300
PRKCD	TP53
PRKCD	HSP90AA1
GABRA3	SDCBP2
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	RELA
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	PPARA
GABRA4	APP
APP	MCM7
MCM7	HIF1A
APP	EEF1D
EEF1D	RELA
APP	GSK3B
APP	MYC
MYC	TFAP2A
APP	MAPK8
MAPK8	TP53
APP	AKAP13
AKAP13	PPARA
GABRB1	NOD1
NOD1	PSMA7
PSMA7	HIF1A
NOD1	RNF34
RNF34	TP53
NOD1	COPS6
COPS6	NFKB1
NOD1	HSP90AA1
GABRD	UBQLN1
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	APP
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	RAD23A
RAD23A	TP53
GABRE	HLA-A
HLA-A	STAT3
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
CUX1	SATB1
SATB1	UBE2I
GABRG2	GABARAP
GABARAP	SQSTM1
SQSTM1	HIF1A
GABARAP	KEAP1
KEAP1	RELA
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	NEDD4
NEDD4	PPARG
PPARG	TFAP2A
GABARAP	DVL2
DVL2	TP53
GABARAP	ATG7
ATG7	SIRT1
SIRT1	PPARA
GLI3	BMP2
EP300	PDK1
STAT4	SOCS2
STAT5B	SOCS1
NFKB1	CXCL2
NFKB1	NFKBIA
NFYB	HLA-DPB1
NFYB	HLA-DQA2
NFYB	HLA-DRA
NFYC	LOC100509457
NFYC	LOC101060835
TP53	APCS
RELA	IL2
NFKB1	TFPI2
