HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
CBL	MAPK8
MAPK8	MYC
CBL	CTNNB1
CTNNB1	HIF1A
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
EP300	ETS1
CBL	HSPA4
HSPA4	NFKB1
EP300	ARNT
CBL	HSPA8
HSPA8	RELA
SMAD3	FOS
CBL	EGFR
EGFR	STAT3
EGFR	STAT1
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
SMAD3	FOXO1
CTNNB1	FOXO3
GRB2	HSP90AA1
HSP90AA1	PPARA
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
EPB41L1	COPS5
COPS5	HIF1A
FLNA	REL
REL	CREBBP
REL	EP300
REL	NFKB1
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
REL	RELA
FLNA	LMNA
LMNA	PML
PML	FOS
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
CALM1	ESR1
ESR1	FOXO1
CALM1	AKT1
AKT1	FOXO3
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
S1PR1	WWP2
WWP2	SMAD7
SMAD7	MYC
WWP2	SMAD3
SMAD3	HIF1A
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
YWHAQ	E2F1
E2F1	NFKB1
YWHAQ	NCOA1
NCOA1	ARNT
TRIP6	UBE2C
UBE2C	RELA
GNAI3	GNB2
GNB2	STAT3
GNAI3	XPO1
XPO1	STAT1
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	NR1H2
NR1H2	RXRB
TRIP6	AJUBA
AJUBA	RXRG
YWHAQ	FOXO3
NCOA1	PPARA
MDFI	PIN1
PIN1	JUN
MDFI	KAT5
KAT5	MYC
MDFI	VHL
VHL	HIF1A
MDFI	MYOD1
MYOD1	CREBBP
KAT5	EP300
EP300	NFKB1
KAT5	RELA
EP300	FOS
MYOD1	STAT3
EP300	STAT1
NR1H2	RXRA
NR1H2	RXRG
EP300	FOXO1
NR1H2	FOXO3
KAT5	UBE2I
UBE2I	PPARA
HTR1D	S1PR1
HTR1E	MEOX2
MEOX2	RELA
RELA	JUN
HTR1E	PSMC4
PSMC4	PSMC5
PSMC5	MYC
HTR1E	PSMC3
PSMC3	HIF1A
PSMC4	RBBP4
RBBP4	CREBBP
RELA	EP300
PSMC3	TP53
TP53	ETS1
PSMC4	PSMD10
PSMD10	NFKB1
HIF1A	ARNT
RELA	FOS
RELA	STAT3
PSMC3	STAT1
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
PSMC3	AR
AR	FOXO1
MEOX2	IKBKB
IKBKB	FOXO3
RELA	PPARA
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
HTR2C	CALM1
ESR1	MYC
MDM2	HIF1A
ESR1	CREBBP
MDM2	EP300
DLG4	ACTN2
ACTN2	SP100
SP100	ETS1
CALM1	DCUN1D1
DCUN1D1	NFKB1
MDM2	RELA
DLG4	KCNA4
KCNA4	SIRT1
SIRT1	FOS
DLG4	ERBB2
ERBB2	STAT3
HTR2C	MPDZ
MPDZ	KIT
KIT	STAT1
KCNA4	SRC
DLG4	FYN
FYN	NR3C1
NR3C1	RXRB
MDM2	CUL1
CUL1	RXRG
MDM2	FOXO1
MDM2	FOXO3
HTR6	COPS5
COPS5	JUN
HTR6	CLTC
CLTC	EP300
EP300	MYC
HTR6	ATM
ATM	HIF1A
EP300	CREBBP
COPS5	NFKB1
ATM	RELA
HTR6	MTOR
MTOR	STAT3
MTOR	STAT1
EP300	RXRA
HTR6	CDK5
CDK5	PPARG
COPS5	CUL1
ATM	FOXO3
HTR7	CUL3
CUL3	ATF2
ATF2	JUN
CUL3	APP
CUL3	CTNNB1
CUL3	GRB2
CUL3	DAXX
DAXX	ETS1
CUL3	NFKB1
CUL3	HSP90AA1
CUL3	KPNA2
KPNA2	RELA
ATF2	FOS
CUL3	RPA2
RPA2	STAT3
CUL3	SMARCA4
SMARCA4	STAT1
CUL3	SMN1
SMN1	RXRA
APP	AKAP13
CUL3	CUL1
CUL3	RFWD2
RFWD2	FOXO1
DRD1	RANBP9
RANBP9	NR3C1
NR3C1	JUN
RANBP9	APP
RANBP9	ESR1
ESR1	HIF1A
ESR1	EP300
RANBP9	UBE2I
UBE2I	ETS1
NR3C1	NFKB1
ESR1	RELA
UBE2I	FOS
ESR1	STAT3
UBE2I	STAT1
UBE2I	RXRA
RANBP9	THRB
THRB	RXRG
MYC	FOXO3
DRD5	GNA13
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
DRD5	GNA12
GNA12	APP
GNA12	HSP90AA1
HSP90AA1	HIF1A
GNA13	MAP3K5
MAP3K5	CREBBP
MAP3K5	EP300
EP300	RELA
HSP90AA1	STAT3
PTK2B	EGFR
PTK2B	SRC
GNA13	PRKAR2A
PRKAR2A	AKAP13
PPARA	RXRG
EP300	FOXO3
DRD3	EPB41L1
DRD3	GIPC1
GIPC1	MCM7
MCM7	HIF1A
HIF1A	CREBBP
DRD3	RDX
RDX	CTTN
CTTN	EP300
GIPC1	ACTN1
ACTN1	PIAS4
PIAS4	ETS1
MCM7	RB1
RB1	ARNT
GIPC1	OGT
OGT	RELA
RB1	STAT3
DRD3	MPDZ
GIPC1	MMS19
MMS19	THRB
THRB	RXRB
MCM7	FHL2
FHL2	FOXO1
DRD4	ARRB2
ARRB2	MAP2K4
MAP2K4	JUN
DRD4	STUB1
STUB1	MYC
STUB1	HIF1A
ARRB2	CSK
CSK	CREBBP
DRD4	GRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
STUB1	RELA
ARRB2	POLR2E
POLR2E	FOS
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	STAT1
ARRB2	MAPK1
MAPK1	RXRA
STUB1	NR3C1
ARRB2	RPA1
RPA1	CUL1
STUB1	FOXO1
ARRB2	YWHAQ
ARRB2	CDK3
CDK3	PPARA
ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CSNK2B
CSNK2B	MYC
AP2M1	CLTC
EP300	HIF1A
AP2M1	APC
APC	CREBBP
AP2M1	HSPA8
EP300	STAT3
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
SFPQ	PPARG
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
ADRA1D	GOPC
GOPC	RELA
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
RELA	HIF1A
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
RELA	NFKB1
GOPC	KPNA1
KPNA1	STAT1
ABCA1	NR1H2
