NQO2	TP53
TP53	HSP90AA1
HSP90AA1	NFIC
TP53	CREB1
TP53	TFAP2A
TP53	COPS5
COPS5	CREB3
TP53	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
TP53	EP300
EP300	DDIT3
DDIT3	CREB3L1
TP53	BRCA1
BRCA1	CREB5
TP53	RELA
TP53	PML
PML	JUN
CSNK2A1	HSP90AA1
CSNK2A1	BRCA1
BRCA1	CREB1
BRCA1	TFAP2A
CSNK2A1	COPS5
CSNK2A1	SNCA
SNCA	Dynll1
Dynll1	CREB3L2
CSNK2A1	DDIT3
CSNK2A1	RELA
CSNK2A1	JUN
PTGS1	PTGIS
PTGIS	HSP90AA1
PTGS1	CAV1
CAV1	PPP1CA
PPP1CA	CREB1
CAV1	PPARG
PPARG	TFAP2A
CAV1	MALL
MALL	CREB3
CAV1	CTNNB1
CTNNB1	ELAVL1
CAV1	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
CAV1	TRAF2
TRAF2	CREB5
CAV1	ESR1
ESR1	RELA
CAV1	CSK
CSK	JUN
PTGS2	EP300
EP300	Cebpb
Cebpb	NFIC
EP300	CREB1
EP300	TFAP2A
PTGS2	COPS5
PTGS2	CUL1
CUL1	ELAVL1
EP300	BRCA1
EP300	RELA
EP300	JUN
CREB3	AQP2
CREB1	AQP2
CREB3L2	AQP2
CREB3L1	AQP2
CREB5	AQP2
CREB1	TINAGL1
NFIC	TINAGL1
JUN	ALDOA
RELA	HDAC2
NFIC	HSPA1A
TFAP2A	HSPA1A
