HTR2A	CBL
CBL	SMAD3
SMAD3	E2F4
CBL	YWHAQ
YWHAQ	E2F1
CBL	GRB2
GRB2	BCAR1
BCAR1	E2F2
CBL	CTNNB1
CTNNB1	HDAC1
HDAC1	E2F3
DRD2	CALM1
CALM1	AR
AR	E2F4
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	E2F1
DRD2	PAWR
PAWR	SHMT2
SHMT2	E2F2
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	E2F3
DRD3	RDX
RDX	ENO1
ENO1	E2F4
DRD3	USP48
USP48	UBC
UBC	E2F1
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	E2F2
DRD4	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	YWHAQ
DRD4	GRB2
TRIM28	E2F3
ADRA1B	AP2M1
AP2M1	BCR
BCR	RB1
RB1	E2F4
AP2M1	UBC
HTR1D	S1PR1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	E2F4
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	E2F1
S1PR1	TRIP6
TRIP6	BCAR1
KAT5	RB1
ADRA2A	GNAI2
GNAI2	GNAI3
ADRA2A	UCHL1
UCHL1	UBC
GNAI2	TRIP6
GNAI2	NUCB1
NUCB1	RBL1
RBL1	E2F3
ADRA2B	UCHL1
UCHL1	CTNNB1
CTNNB1	BRCA1
BRCA1	E2F4
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	SHMT2
ADRA2C	UCHL1
ADRA2C	EIF2B1
HTR2C	CALM1
HTR2C	DLG4
DLG4	MDM2
MDM2	E2F1
DLG4	PTK2B
PTK2B	BCAR1
DLG4	ERBB4
ERBB4	TRIM28
HTR1A	S1PR1
GNAI3	YWHAQ
YWHAQ	TRIM28
DRD1	RANBP9
RANBP9	AR
RANBP9	ESR1
ESR1	E2F1
ESR1	BCAR1
ESR1	HDAC1
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
