HTR2A	CBL
CBL	MAPK8
MAPK8	SPI1
CBL	CTNNB1
CTNNB1	SP1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	SMAD3
SMAD3	JUN
CBL	HSPA4
HSPA4	NFKB1
CBL	ABL1
ABL1	CREB1
DRD2	FLNA
FLNA	LMNA
LMNA	PML
PML	SPI1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
LMNA	RB1
RB1	TFAP2A
FLNA	RBM39
RBM39	JUN
FLNA	REL
REL	NFKB1
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SPI1
RB1	SP1
GIPC1	SH3BP4
SH3BP4	TFAP2A
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	JUN
COPS5	NFKB1
MCM7	FHL2
FHL2	CREB1
DRD4	ARRB2
ARRB2	NONO
NONO	SPI1
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	AKT1
AKT1	CREB1
ADRA1B	AP2M1
AP2M1	EEF1A1
EEF1A1	FUS
FUS	SPI1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
EP300	CREB1
HTR1D	HTR1B
HTR1B	MDFI
MDFI	NAB2
NAB2	SPI1
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	EP300
MDFI	PIN1
PIN1	JUN
KAT5	CREB1
ADRA2A	GNAO1
GNAO1	OPRM1
OPRM1	ARF1
ARF1	SPI1
ADRA2A	UCHL1
UCHL1	CTNNB1
ADRA2A	GNAI2
GNAI2	NPM1
GNAI2	ITCH
ITCH	JUN
UCHL1	COPS5
UCHL1	TP53
TP53	CREB1
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	NONO
ADRA2B	UCHL1
TP53	TFAP2A
UCHL1	UBE2I
UBE2I	JUN
ADRA2C	EIF2B1
ADRA2C	UCHL1
HTR2C	DLG4
DLG4	PTK2B
PTK2B	VAV1
VAV1	SPI1
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
DLG4	MDM2
MDM2	JUN
CALM1	DCUN1D1
DCUN1D1	NFKB1
CALM1	AKT1
HTR1A	S1PR1
S1PR1	PDGFRB
PDGFRB	VAV1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	GNAI2
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
HTR1A	HTR1D
DRD1	COPG1
COPG1	ARF1
DRD1	RANBP9
RANBP9	ESR1
RANBP9	APP
APP	MYC
MYC	TFAP2A
RANBP9	NR3C1
NR3C1	JUN
NR3C1	NFKB1
NR3C1	CREB1
NFYA	HLA-DRB1
SP1	ALDH3A1
CREB1	AQP3
USF2	CCNB1
CREB1	CCND1
CREM	CCND1
SP1	CCND1
RELA	ICAM1
SPI1	ICAM1
ATF1	ID2
TFAP2A	ITGA2
HIF1A	ITGB2
JUNB	IVL
