HTR2A	CBL
CBL	SMAD3
SMAD3	CEBPA
CBL	GRB2
GRB2	EP300
EP300	EGR1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	ABL1
ABL1	CREB1
SMAD3	CEBPB
GRB2	REL
CBL	EGFR
EGFR	STAT3
CBL	CTNNB1
CTNNB1	PPARG
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CTNNB1	SP1
EP300	TFAP2A
CBL	YWHAZ
YWHAZ	TP53
EP300	SP3
SMAD3	JUN
CBL	MAPK8
MAPK8	SPI1
EP300	USF2
GRB2	HSP90AA1
HSP90AA1	PPARA
SMAD3	FOS
CBL	STAP2
STAP2	MYD88
CBL	TRIM21
TRIM21	IRF5
DRD2	FLNA
FLNA	LMNA
LMNA	KAT5
KAT5	CEBPA
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	EGR1
FLNA	REL
REL	NFKB1
REL	RELA
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	CALM1
CALM1	ESR1
ESR1	CEBPB
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
CDKN2A	SP1
LMNA	RB1
RB1	TFAP2A
RANBP2	TP53
ESR1	SP3
FLNA	RBM39
RBM39	JUN
PML	SPI1
REL	EP300
CALM1	HSP90AA1
PML	FOS
PAWR	SQSTM1
SQSTM1	MYD88
EP300	IRF5
DRD3	GIPC1
GIPC1	MCM7
MCM7	UBE3A
UBE3A	CEBPA
GIPC1	OGT
OGT	RELA
RELA	EGR1
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	NFKB1
MCM7	FHL2
FHL2	CREB1
MCM7	RB1
RB1	CEBPB
DRD3	RDX
RDX	HSPA4
HSPA4	REL
RB1	STAT3
RB1	PPARG
RELA	RXRA
GIPC1	MMS19
MMS19	THRB
THRB	RXRB
THRB	RXRG
RB1	SP1
GIPC1	SH3BP4
SH3BP4	TFAP2A
COPS5	TP53
RELA	SP3
COPS5	JUN
RB1	SPI1
RELA	USF2
RELA	PPARA
RELA	FOS
MCM7	HDAC6
HDAC6	MYD88
OGT	SIN3A
SIN3A	IRF5
DRD4	ARRB2
ARRB2	C1QBP
C1QBP	CEBPA
DRD4	GRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
DRD4	STUB1
STUB1	RELA
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	CEBPB
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	XRCC6
XRCC6	PPARG
MAPK1	RXRA
STUB1	NR3C1
NR3C1	RXRB
ARRB2	RPA1
RPA1	CUL1
CUL1	RXRG
MAPK1	SP1
ARRB2	NPM1
NPM1	TFAP2A
STUB1	TP53
ARRB2	SFPQ
SFPQ	SP3
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	NONO
NONO	SPI1
ARRB2	CDK3
CDK3	PPARA
ARRB2	POLR2E
POLR2E	FOS
ARRB2	TRAF6
TRAF6	MYD88
TRAF6	IRF5
ADRA1B	AP2M1
AP2M1	HSPA8
HSPA8	UBE3A
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
EP300	CREB1
EP300	CEBPB
EP300	REL
EP300	STAT3
AP2M1	SFPQ
SFPQ	PPARG
AP2M1	CSNK2B
CSNK2B	RXRA
SFPQ	NR3C1
SFPQ	SP1
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	BCR
BCR	TP53
AP2M1	AP1G1
AP1G1	JUN
AP2M1	EEF1A1
EEF1A1	FUS
FUS	SPI1
EEF1A1	GADD45G
GADD45G	PPARA
EP300	FOS
EEF1A1	MDM2
MDM2	MYD88
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	EP300
KAT5	RELA
KAT5	CREB1
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
MDFI	PRKAB2
PRKAB2	REL
MDFI	MYOD1
MYOD1	STAT3
MDFI	PIN1
PIN1	PPARG
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
MDFI	VHL
VHL	SP1
KAT5	TP53
PIN1	JUN
MDFI	NAB2
NAB2	SPI1
KAT5	UBE2I
UBE2I	PPARA
KAT5	MDM2
ADRA2A	UCHL1
UCHL1	CDK4
CDK4	CEBPA
UCHL1	TP53
TP53	EGR1
UCHL1	COPS5
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
TP53	CREB1
GNAI2	ITCH
ITCH	SMAD3
GNAI2	NUCB1
NUCB1	REL
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
UCHL1	CTNNB1
UCHL1	UBE2I
UBE2I	RXRA
GNAI2	MDFI
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
ITCH	JUN
ADRA2A	GNAO1
GNAO1	OPRM1
OPRM1	ARF1
ARF1	SPI1
NPM1	BRCA1
BRCA1	USF2
UBE2I	FOS
ITCH	MDM2
NPM1	TRIM21
ADRA2B	UCHL1
TP53	RELA
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	HNRNPK
HNRNPK	CEBPB
UCHL1	PARK2
PARK2	REL
UCHL1	HSP90AA1
HSP90AA1	STAT3
TP53	TFAP2A
HNRNPL	SFPQ
UBE2I	JUN
EIF2B1	GORASP2
GORASP2	NONO
CTNNB1	EP300
CTNNB1	HDAC6
ADRA2C	UCHL1
ADRA2C	EIF2B1
HTR2C	DLG4
DLG4	MDM2
MDM2	CDKN1A
CDKN1A	CEBPA
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
HTR2C	CALM1
CALM1	DCUN1D1
DCUN1D1	NFKB1
MDM2	RELA
CALM1	AKT1
CALM1	HSPA4
DLG4	ERBB2
ERBB2	STAT3
DLG4	PRKCA
DLG4	KCNA4
KCNA4	SRC
DLG4	FYN
FYN	NR3C1
MDM2	CUL1
ESR1	SP1
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
DLG4	ERBB4
ERBB4	TP53
MDM2	JUN
DLG4	PTK2B
PTK2B	VAV1
VAV1	SPI1
MDM2	EP300
KCNA4	SIRT1
SIRT1	FOS
ERBB4	NCOR1
NCOR1	IRF5
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	PSMA3
PSMA3	EGR1
YWHAQ	E2F1
E2F1	NFKB1
S1PR1	TRIP6
TRIP6	UBE2C
UBE2C	RELA
HTR1A	HTR1D
GNAI3	NUCB1
GNAI3	GNB2
GNB2	STAT3
GNAI3	XPO1
XPO1	PPARG
TRIP6	SRC
SMAD3	SP1
GNAI3	GNAI2
TRIP6	PTK2
PTK2	TP53
YWHAQ	ESR1
TRIP6	CREB5
CREB5	JUN
S1PR1	PDGFRB
PDGFRB	VAV1
TRIP6	POM121
POM121	BRCA1
YWHAQ	NCOA1
NCOA1	PPARA
YWHAQ	SMURF1
SMURF1	MYD88
SRC	CREBBP
CREBBP	IRF5
DRD1	RANBP9
RANBP9	APP
APP	MAPK8
MAPK8	CEBPA
RANBP9	ESR1
ESR1	EP300
RANBP9	NR3C1
NR3C1	NFKB1
ESR1	RELA
