CHRM1	GPRASP2
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	NR3C2
GPRASP2	TXN
TXN	HINT1
HINT1	MITF
TXN	NFKB1
NFKB1	SP1
GPRASP2	AGO1
AGO1	RELA
RELA	SP3
GPRASP2	RPS6KA5
RPS6KA5	CREB1
TXN	NR3C1
NR3C1	POU2F1
NR3C1	POU2F2
NR3C1	ETS2
HSP90AA1	PPARD
GPRASP2	TRIM32
TRIM32	RXRA
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
CHRM2	SET
SET	APP
APP	C9orf41
C9orf41	NR3C2
SET	CCNB1
CCNB1	EP300
EP300	MITF
SET	TP53
TP53	SP1
SET	NR3C1
NR3C1	NFKB1
EP300	SP3
NR3C1	CREB1
CCNB1	RELA
NR3C1	NCOR2
NCOR2	PPARD
CHRM2	Set
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
NCOR2	RXRG
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
CHRM3	SET
APP	GSK3B
GSK3B	RXRA
CREB5	BDNF
STAT2	CCND2
STAT2	CCND3
STAT2	SOCS3
JUN	FIGF
JUN	MMP2
ATF4	BCL2
CREB3L2	BCL2
PPARD	ACADL
PPARD	ANGPTL4
RXRA	CYP27A1
RXRA	FABP1
RXRB	PCK2
RFX5	LOC100507714
RFX5	LOC101060835
RFX5	HLA-DQB1
RFX5	HLA-DRA
RFX5	HLA-DRB1
HIF1A	ADM
CREB1	ADRA1A
SP1	ADRA1A
E2F3	CDC45
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
TP53	IL8
STAT3	IRF1
STAT4	IRF1
CEBPA	ITGA2
RARA	PLAU
