GABRA1	PRKCD
PRKCD	STAT1
PRKCD	TP53
PRKCD	EP300
EP300	IRF3
GABRA3	SDCBP2
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	STAT1
SDCBP2	ZCCHC10
ZCCHC10	TP53
ZCCHC10	PIN1
PIN1	IRF3
GABRA4	APP
APP	HDAC4
HDAC4	STAT1
APP	MAPK8
MAPK8	TP53
MAPK8	IRF3
GABRB1	NOD1
NOD1	UBC
UBC	BRCA1
BRCA1	STAT1
NOD1	RNF34
RNF34	TP53
NOD1	HSP90AA1
HSP90AA1	IRF3
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	GNB2L1
GNB2L1	STAT1
TRAK2	GSK3B
GSK3B	TP53
GSK3B	EWSR1
EWSR1	IRF3
GABRB3	MEOX2
MEOX2	CIAPIN1
CIAPIN1	STAT1
MEOX2	RELA
RELA	TP53
MEOX2	PIN1
GABRD	UBQLN1
UBQLN1	MTOR
MTOR	STAT1
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	APP
GABRE	ALG9
ALG9	RTF1
RTF1	STAT1
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
GABRE	GPAA1
GPAA1	PIN1
GABRG2	GABARAP
GABARAP	ATG7
ATG7	STAT1
GABARAP	DVL2
DVL2	TP53
GABARAP	TAX1BP1
TAX1BP1	IKBKE
IKBKE	IRF3
TNFSF11	SRC
SRC	STAT1
SRC	TP53
TNFSF11	EEF1A1
EEF1A1	POLR2A
POLR2A	IRF3
LEF1	MITF
RXRA	ACOX2
RXRA	ACOX3
RXRB	APOC3
RXRB	ILK
MAPK11	IL23A
