KCNJ1	SLC9A3R1
SLC9A3R1	YAP1
YAP1	CREB1
SLC9A3R1	YWHAZ
YWHAZ	UBC
UBC	ATF6
YAP1	EP300
EP300	USF2
SLC9A3R1	EZR
EZR	BRCA1
BRCA1	ATF1
SLC9A3R1	RPS3
RPS3	NFKB1
YWHAZ	TP53
TP53	TFAP2A
SLC9A3R1	YWHAQ
YWHAQ	SMURF1
SMURF1	MYD88
YWHAZ	TNFAIP3
TNFAIP3	IRF7
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	SP1
RPS3	RELA
STAT3	JUN
EP300	MITF
RBPJ	HES1
TP53	BAI1
RXRB	DBI
RXRB	ACSL1
RXRB	MMP1
RXRG	CPT1A
RXRG	CYP8B1
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL6
MAPK13	IL12A
TP53	ABCB1
NFKB1	IRF1
CEBPA	ITGA2
POU2F2	MYC
