ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	FAF1
FAF1	HIF1A
RAP1A	HDAC1
HDAC1	CREBBP
HDAC1	EP300
RAPGEF4	TRAF2
TRAF2	PIAS2
PIAS2	ARNT
RAP1A	HSPA4
HSPA4	NFKB1
RAP1A	CDC42
CDC42	TP53
TRAF2	JUN
JUN	ETS1
TRAF2	SMURF1
SMURF1	NFIC
KCNJ1	SLC9A3R1
SLC9A3R1	CAPN1
CAPN1	HIF1A
KCNJ1	SLC9A3R2
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
SLC9A3R1	YAP1
YAP1	EP300
HIF1A	ARNT
SLC9A3R1	RPS3
RPS3	NFKB1
SLC9A3R1	YWHAZ
YWHAZ	TP53
TP53	ETS1
SLC9A3R1	YWHAQ
YWHAQ	SMURF1
ELK1	BIRC2
JUN	CCND3
RELA	MMP9
CREB3L3	PCNA
CREBBP	PGF
CREBBP	TIMP1
EP300	PGF
EP300	TIMP1
VDR	ATP2B1
VDR	TRPV6
RELA	BCL2A1
NFKB1	ICAM1
MYB	MYC
NFKB1	MYC
PGR	MYC
