GABRA1	PRKCD
PRKCD	TP53
PRKCD	STAT3
STAT3	HIF1A
PRKCD	EP300
EP300	CREBBP
EP300	ARNT
EP300	FOXO3
GRIK1	SDCBP
SDCBP	TRIM32
TRIM32	TP53
SDCBP	TRAF6
TRAF6	HIF1A
GRIK1	GRIP1
GRIP1	CREBBP
SDCBP	ZBTB8A
ZBTB8A	EP300
SDCBP	SIAH1
SIAH1	PIAS2
PIAS2	ARNT
GRIK1	DLG4
DLG4	MDM2
MDM2	FOXO3
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	TP53
CDKN2A	HIF1A
CA2	NONO
NONO	SMARCA4
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
CDKN2A	BRCA1
BRCA1	ARNT
SLC4A1	CLU
CLU	CHUK
CHUK	FOXO3
CA4	PIH1D1
PIH1D1	PPP1CA
PPP1CA	TP53
PIH1D1	POLR2L
POLR2L	ESR1
ESR1	HIF1A
PIH1D1	KMT2A
KMT2A	CREBBP
PIH1D1	POLR2A
POLR2A	EP300
PPP1CA	BRCA1
CA4	PRDX2
PRDX2	YWHAZ
YWHAZ	FOXO3
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
SDCBP2	TIFA
TIFA	TRAF6
TP53	CREBBP
TP53	EP300
HIF1A	ARNT
TRAF6	AKT1
AKT1	FOXO3
GABRA4	APP
APP	MAPK8
MAPK8	TP53
APP	MCM7
MCM7	HIF1A
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	MYC
MYC	FOXO3
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	PSMA7
PSMA7	HIF1A
NOD1	HSP90AA1
HSP90AA1	ARNT
NOD1	UBC
UBC	BTRC
BTRC	FOXO3
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	TP53
TRAK2	PRKAB2
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	PIAS2
GSK3B	CTNNB1
CTNNB1	FOXO3
GABRB3	MEOX2
MEOX2	RELA
RELA	TP53
RELA	HIF1A
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
GABRB3	PRKACA
PRKACA	HSP90AA1
MEOX2	IKBKB
IKBKB	FOXO3
GABRD	UBQLN1
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	RAD23B
RAD23B	HIF1A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	APP
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
GABRE	HLA-A
HLA-A	STAT3
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
CUX1	SATB1
SATB1	EP300
SATB1	PML
PML	ARNT
GP1BB	YWHAZ
GABRG2	GABARAP
GABARAP	DVL2
DVL2	TP53
GABARAP	SQSTM1
SQSTM1	HIF1A
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	GBAS
GBAS	FOXO3
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	VEGFB
EP300	CDKN1B
EP300	VEGFB
HIF1A	CDKN1B
HIF1A	VEGFB
ARNT	CDKN1B
ARNT	VEGFB
TP53	BAX
FOXO3	CDKN1B
TP53	PCNA
