HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	NEDD4
NEDD4	ERBB3
ERBB3	EGR1
ARRDC3	ITCH
ITCH	JUN
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	STAT1
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ITCH	TP53
TP53	ETS1
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
ARRB2	AKT1
AKT1	CREB1
ARRB2	POLR2E
POLR2E	FOS
ARRB2	NPM1
NPM1	TFAP2A
ARRDC3	WWP1
WWP1	SMAD4
MAPK1	JUND
HSP90AA1	NFIC
NEDD4	SMAD3
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	XRCC6
XRCC6	POU2F1
CREBBP	TIMP1
EP300	TIMP1
HIF1A	TIMP1
ARNT	TIMP1
STAT1	SOCS5
STAT3	SOCS5
SP1	APEX1
EGR1	CD44
SP1	CD44
JUN	MAT2A
NFKB1	MAT2A
SP1	MAT2A
MYC	NME1
TP53	NME1
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
CREB1	TIMP1
ETS1	TIMP1
FOS	TIMP1
JUN	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
