HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	IRF7
ARRB2	TRAF6
TRAF6	MYD88
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NONO
NONO	SPI1
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	PARK2
PARK2	MEOX2
MEOX2	PAX1
ARRB2	AKT1
AKT1	CREB1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	MAPK3
ARRDC3	ITCH
ITCH	JUN
ARRB2	POLR2E
POLR2E	FOS
ARRB1	MAPK14
ARRDC3	NEDD4
NEDD4	MAPKAPK3
MAPKAPK3	MAPK11
ARRB2	VCP
VCP	MAPK13
ARRB2	MAP2K4
MAP2K4	MAPK8
ARRB2	MAPK9
MAP2K4	MAPK10
TRAF6	IRF5
HSP90AA1	ARNT
ARRB2	MCM3
MCM3	EPAS1
NEDD4	SMAD3
SMAD3	PAX6
ARRB2	SFPQ
SFPQ	SP3
ARRDC3	NEDD4L
NEDD4L	PBX1
PBX1	PDX1
ITCH	TP53
TP53	ETS1
ARRDC3	HGS
HGS	MAP3K10
MAP3K10	NEUROD1
SFPQ	HDAC1
HDAC1	NKX2-2
TRAF6	IRF8
TRIM28	IRF1
ARRDC3	ADRB2
ADRB2	REL
REL	NEUROG3
MAPK1	CEBPB
ARRB2	CDK3
CDK3	PPARA
NEDD4	PPARG
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
ARRB2	PTGES3
PTGES3	NR3C2
MAPK1	VDR
NEDD4	ERBB3
ERBB3	EGR1
NFKBIA	NFKB2
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
ARRB2	YWHAQ
YWHAQ	YAP1
ARRB2	STAT1
YWHAQ	NCOA1
NCOA1	FOXA2
MAPK9	IRF3
AKT1	FOXO1
ARRB2	HDAC2
HDAC2	PPARD
ITCH	GLI1
ARRDC3	WWP1
WWP1	SMAD4
ARRB2	CSNK2A1
CSNK2A1	ATF1
CAPN1	AES
AES	HNF1A
YWHAQ	FOXO3
MAPK1	ELK1
NEDD4	SMAD2
EP300	USF2
ARRB2	YWHAE
YWHAE	WWTR1
C1QBP	CEBPA
CSNK2A1	NFYA
ITCH	GRB2
GRB2	NFYB
ARRB2	GAPDH
GAPDH	NFYC
HGS	APP
APP	RFX5
ARRB2	NCL
NCL	RFXAP
HGS	BSG
BSG	RFXANK
ADRB2	STAT3
NEDD4	BRCA2
TP53	TFAP2C
HGS	INSR
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
MAPK1	ATF2
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	XRCC6
XRCC6	POU2F1
NFKBIA	ATF4
ARRB2	ALYREF
ALYREF	LEF1
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
JUN	CREB3
ITCH	PTCH1
PTCH1	ATF6B
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
XRCC6	POU2F2
MAPK1	STAT5A
INSR	STAT5B
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
TRIM28	E2F4
TP53	ETS2
CREB3	CRH
CREB3	BDNF
CREB1	CRH
CREB1	BDNF
ATF2	CRH
ATF2	BDNF
ATF6B	CRH
ATF6B	BDNF
ATF4	CRH
ATF4	BDNF
MAPK1	PDYN
MAPK3	PDYN
CREB3L2	CRH
CREB3L2	BDNF
CREB3L1	CRH
CREB3L1	BDNF
CREB5	CRH
CREB5	BDNF
NR3C2	ATP1B4
NR3C2	ATP1A2
CREB3	PDYN
CREB1	PDYN
ATF2	PDYN
ATF6B	PDYN
ATF4	PDYN
CREB3L2	PDYN
CREB3L1	PDYN
CREB5	PDYN
NFKB1	XIAP
NFKB1	BIRC7
RELA	XIAP
RELA	BIRC7
GLI1	WNT16
GLI1	WNT4
GLI1	PTCH1
GLI1	WNT1
GLI1	WNT3
GLI2	GLI1
GLI2	WNT16
GLI2	WNT4
GLI2	PTCH1
GLI2	WNT1
GLI2	WNT3
GLI3	GLI1
GLI3	WNT16
GLI3	WNT4
GLI3	PTCH1
GLI3	WNT1
GLI3	WNT3
ESR1	TRPV5
ESR1	SLC8A1
VDR	TRPV5
VDR	SLC8A1
ELK1	XIAP
ELK1	CCND2
JUN	CCND2
CREBBP	FASLG
EP300	FASLG
CREBBP	FLT1
CREBBP	ANGPT1
CREBBP	ANGPT2
CREBBP	NOS2
CREBBP	NPPA
CREBBP	PFKFB2
CREBBP	SLC2A1
CREBBP	HKDC1
EP300	FLT1
EP300	ANGPT1
EP300	ANGPT2
EP300	NOS2
EP300	NPPA
EP300	PFKFB2
EP300	SLC2A1
EP300	HKDC1
HIF1A	FLT1
HIF1A	ANGPT1
HIF1A	ANGPT2
HIF1A	NOS2
HIF1A	NPPA
HIF1A	PFKFB2
HIF1A	SLC2A1
HIF1A	HKDC1
ARNT	FLT1
ARNT	ANGPT1
ARNT	ANGPT2
ARNT	NOS2
ARNT	NPPA
ARNT	PFKFB2
ARNT	SLC2A1
ARNT	HKDC1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	AREG
YAP1	SOX2
YAP1	CCND2
WWTR1	GLI2
WWTR1	AREG
LEF1	SOX2
LEF1	CCND2
TCF7	SOX2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND2
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	GLI2
TEAD4	SOX2
TEAD4	CCND2
TEAD3	GLI2
TEAD3	SOX2
TEAD3	CCND2
TCF7L1	SOX2
TCF7L1	CCND2
SMAD2	SLC2A1
SMAD3	SLC2A1
