HPGDS	ARRDC3
ARRDC3	NEDD4
NEDD4	SMAD3
SMAD3	PAX6
ARRDC3	ITCH
ITCH	JUN
ARRDC3	ARRB2
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	MAPK1
ARRB2	MAPK3
ARRB2	POLR2E
POLR2E	FOS
MAPK1	SP1
ARRB2	DYNC1H1
DYNC1H1	MAX
ITCH	TP53
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
NFKBIA	NFKB2
ARRB2	UBC
UBC	ATF6
TP53	ETS1
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	NPM1
NPM1	TFAP2A
MAPK1	CEBPB
ARRB2	AKT1
AKT1	CREB1
ADRB2	REL
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	YWHAQ
YWHAQ	YAP1
ARRB2	YWHAE
YWHAE	WWTR1
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
ARRB2	CDK3
CDK3	PPARA
HSP90AA1	ARNT
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NFKBIA	ATF4
ARRB2	SFPQ
SFPQ	SP3
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	PTGES3
PTGES3	NR3C2
NEDD4	ERBB3
ERBB3	EGR1
ARRDC3	HGS
HGS	INSR
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
NEDD4	SMAD2
ARRDC3	WWP1
WWP1	SMAD4
ARRB2	XRCC6
XRCC6	POU2F1
MAPK1	ATF2
ITCH	PTCH1
PTCH1	ATF6B
NEDD4	KIFC3
KIFC3	CREB5
CREB3L1	BDNF
CREB5	BDNF
ATF6B	FOS
CREB3L4	PDYN
ATF4	FOS
CREB3L2	PDYN
ARNTL	BHLHE40
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ATF6B	PCNA
EGR2	FASLG
CREBBP	ENO2
CREBBP	ALDOA
EP300	ENO2
EP300	ALDOA
HIF1A	ENO2
HIF1A	ALDOA
HIF1A	PGK1
ARNT	CDKN1A
ARNT	FIGF
ARNT	FLT1
ARNT	HK3
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	CCND1
YAP1	SNAI2
WWTR1	FGF1
WWTR1	BBC3
SMAD1	ID4
TEAD3	CTGF
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS4
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
PAX6	GCK
TCF7	MITF
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	HES1
RBPJ	HES5
TP53	SESN3
TP53	GTSE1
TP53	SERPINB5
TP53	PMAIP1
TP53	BAI1
TP53	BAX
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
RXRB	OLR1
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK1	IL12B
MAPK11	IL6
MAPK9	NOS2
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
LEF1	FOSL1
TCF7	JUN
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
ETV4	PLAUR
E2F4	CAV1
SP1	CAV1
RARB	CRABP2
CREB1	CYP11A1
SP1	GH2
POU5F1	HMGB2
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
JUN	IVL
JUNB	IVL
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
PPARG	MMP9
BCL3	MYB
POU2F2	MYC
EGR1	PLAU
RARA	PLAU
ETS1	PRL
ATF4	PTGS2
CEBPD	PTGS2
RARB	PTGS2
E2F4	TOP1
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
