GABBR1	ATF4
ATF4	EP300
EP300	TP63
TP63	ETV4
EP300	NFKB1
ATF4	JUN
JUN	ERG
EP300	ETS1
EP300	RELA
EP300	TP53
EP300	EGR1
EP300	SP1
ATF4	APP
APP	AKAP13
AKAP13	PPARA
EP300	RXRA
ATF4	Cebpb
Cebpb	RXRB
EP300	PPARG
PPARG	RXRG
ATF4	LMNB1
LMNB1	POU2F1
ATF4	FOS
ATF4	MDM2
MDM2	WT1
EP300	HIF1A
EP300	CREB1
EP300	TFAP2A
EP300	ETS2
ATF4	CREBBP
CREBBP	CREM
ATF4	CEBPA
EP300	SP3
ABAT	CBS
CBS	UBA2
UBA2	ETV4
ABAT	RAD23B
RAD23B	STAT6
STAT6	NFKB1
ABAT	PDCD6IP
PDCD6IP	NEDD4
NEDD4	ERG
RAD23B	BRCA1
BRCA1	JUN
BRCA1	ETS1
BRCA1	RELA
BRCA1	TP53
ABAT	ENO1
ENO1	NAB1
NAB1	EGR1
BRCA1	SP1
CBS	UBE2I
UBE2I	PPARA
PDCD6IP	SRC
SRC	RXRA
RAD23B	UBE3A
UBE3A	RARA
RARA	RXRB
BRCA1	RPAP2
RPAP2	RXRG
BRCA1	POU2F1
UBE2I	FOS
UBE2I	WT1
RAD23B	HIF1A
BRCA1	CREB1
BRCA1	TFAP2A
RAD23B	POU5F1
POU5F1	ETS2
ENO1	HDAC1
HDAC1	CREM
UBE3A	CEBPA
ENO1	HDAC2
HDAC2	SP3
STAT6	PPARG
NPAS2	PER2
CLOCK	RORC
LEF1	MITF
MAPK1	CDK4
RBPJ	HES1
TP53	BAI1
RELA	VEGFC
STAT1	FIGF
STAT3	VEGFA
STAT3	VEGFC
EPAS1	FIGF
EPAS1	VEGFB
FOS	CDK4
JUN	PGF
NFKB1	TRAF5
NFKB2	XIAP
NFKB2	BCL2
NFKB2	BCL2L1
PIAS2	CDKN2B
FOXO3	RBL2
CREB5	MCL1
PPARA	APOA5
PPARA	CPT2
PPARA	HMGCS2
PPARD	CPT1B
PPARD	ACOX3
PPARG	CPT1C
PPARG	CPT1A
PPARG	MMP1
RXRA	CYP7A1
RXRA	ACSBG1
RXRA	SCP2
RXRA	UCP1
RXRB	GK
RXRB	CYP4A22
RXRB	ACADL
RXRB	APOA2
NFYB	HLA-DMA
NFYB	HLA-DOA
NFYB	HLA-DPA1
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
RFX5	HLA-DPA1
NFIC	ADA
CREB1	AQP3
E2F3	CDC45
E2F1	CDC45
E2F4	CDC6
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
USF1	CTSB
SP1	CTSL
SP3	CTSL
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
USF2	FBP1
EGR1	FCER2
PAX5	FCER2
CREB1	FN1
EGR1	FN1
NFIC	HRAS
SP1	HRAS
E2F4	HSP90B1
SP1	HSPA8
SPI1	IL1B
BCL3	MYB
ETS1	MYB
MYB	MYB
CEBPE	MYC
ESR1	MYC
STAT1	TP53
FOS	TSHB
