HTR1B	MDFI
MDFI	MYOD1
MYOD1	STAT3
MDFI	KAT5
KAT5	EP300
EP300	NFKB1
KAT5	TP53
MDFI	PIN1
PIN1	JUN
EP300	STAT1
KAT5	RELA
KAT5	RUVBL1
RUVBL1	LEF1
MDFI	VHL
VHL	UBC
UBC	DAZAP2
DAZAP2	TCF7
KAT5	UBE2I
UBE2I	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
KAT5	APP
APP	ELK1
EP300	ETS1
MYOD1	CREBBP
VHL	HIF1A
EP300	ARNT
MDFI	NAB2
NAB2	YAP1
KAT5	MYC
YAP1	TEAD1
MDFI	PRKAB2
PRKAB2	GOLGA2
GOLGA2	TEAD4
MDFI	PIDD1
PIDD1	TEAD3
EP300	FOS
UBE2I	PPARA
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
VHL	SP1
VHL	HSP90AA1
HSP90AA1	NFIC
KAT5	BRCA1
BRCA1	ATF1
KAT5	CREB1
BRCA1	ELK4
KAT5	SRF
NAB2	TOP1
TOP1	ELK3
VHL	EPAS1
KAT5	BCL3
BCL3	NFKB2
EP300	CEBPB
PRKAB2	REL
PIN1	SMAD2
SMAD2	ETV4
MDFI	AASDHPPT
AASDHPPT	PLCG1
PLCG1	SOS1
KAT5	ESR1
ESR1	SOS2
PIN1	PPARG
BRCA1	FLI1
EP300	ATF4
EP300	ZBTB17
PRKAB2	PIAS2
MDFI	CREB5
CREB5	ATF2
KAT5	MAX
KAT5	CEBPA
EP300	MAPK1
BRCA1	MAPK3
EP300	TFAP2A
EP300	SP3
KAT5	HDAC3
HDAC3	CREB3
NAB2	XBP1
XBP1	ATF6B
VHL	ELAVL1
ELAVL1	CREB3L2
PRKAB2	CREB3L1
EP300	STAT5A
KAT5	NR3C1
NR3C1	STAT5B
EP300	STAT2
VHL	TRIM28
TRIM28	STAT4
EP300	STAT6
EP300	PGR
MDFI	CDCA7L
CDCA7L	VDR
KAT5	GADD45G
GADD45G	PPARD
KAT5	TP73
UBE2I	ATF3
EP300	SMAD4
EP300	ETS2
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	LEF1
WWP2	UBC
WWP2	SMAD7
SMAD7	TCF7L2
S1PR1	TRIP6
TRIP6	PYGO2
PYGO2	CTNNB1
TRIP6	STK16
STK16	ELK1
SMAD3	FOS
SMAD3	CEBPB
WWP2	SMAD2
TRIP6	NCK2
NCK2	SOS1
TRIP6	ABI2
ABI2	SOS2
S1PR1	PDGFRB
PDGFRB	ETV6
ETV6	FLI1
SMAD3	MAPK1
WWP2	PTCH1
PTCH1	ATF6B
PDGFRB	SHC1
SHC1	STAT5A
SHC1	STAT5B
S1PR1	GNAI1
GNAI1	PGR
SMAD3	ATF3
SMAD3	SMAD4
WWP2	POU5F1
POU5F1	ETS2
HTR1A	S1PR1
GNAI3	GNB2
GNB2	STAT3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	PTK2
PTK2	TP53
TRIP6	CREB5
CREB5	JUN
TRIP6	UBE2C
UBE2C	RELA
YWHAQ	NCOA3
NCOA3	ETS1
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
YWHAQ	YAP1
SMAD7	MYC
GNAI3	GNG5
GNG5	GOLGA2
HTR1A	HTR1D
NCOA1	PPARA
SRC	RXRA
TRIP6	AJUBA
AJUBA	RXRG
SMAD3	SP1
YWHAQ	SMURF1
SMURF1	NFIC
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
XPO1	ELAVL1
ELAVL1	ELK4
SMAD7	SRF
TRIP6	RPS14
RPS14	TOP1
SMAD3	EPAS1
GNAI3	RAP1GAP
RAP1GAP	BTRC
BTRC	NFKB2
GNAI3	NUCB1
NUCB1	REL
XPO1	PPARG
GNAI3	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
YWHAQ	HSPB1
HSPB1	ZBTB17
SMAD3	MAX
SMAD3	CEBPA
YWHAQ	SNCA
SNCA	MAPK3
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
YWHAQ	ESR1
ESR1	SP3
SRC	HDAC3
HSPB1	STAT2
YWHAQ	TRIM28
YWHAQ	EEF1A1
EEF1A1	STAT6
SMAD3	VDR
GNAI3	CAPNS1
CAPNS1	PPARGC1A
PPARGC1A	PPARD
XPO1	TP73
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
GLI2	WNT10A
GLI3	BMP4
JUN	RELA
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
ELK1	BIRC2
ELK1	XIAP
ATF6B	PCNA
CREB3L4	PCNA
EGR2	FASLG
NFKB1	TNF
MAPK8	SMAD4
MAPK9	JUN
RELA	MMP9
CREB3L2	IL8
CREBBP	ENO2
CREBBP	EPO
CREBBP	ALDOA
CREBBP	SERPINE1
CREBBP	PDK1
CREBBP	PFKFB1
CREBBP	PGF
CREBBP	BCL2
EP300	ENO2
EP300	EPO
EP300	ALDOA
EP300	SERPINE1
EP300	PDK1
EP300	PFKFB1
EP300	PGF
EP300	BCL2
HIF1A	ENO2
HIF1A	EPO
HIF1A	ALDOA
HIF1A	SERPINE1
HIF1A	PDK1
HIF1A	PFKFB1
HIF1A	TEK
HIF1A	TFRC
ARNT	CDKN1A
ARNT	FIGF
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	ID1
YAP1	CCND1
YAP1	AREGB
WWTR1	FGF1
WWTR1	BIRC5
SMAD1	ID4
SMAD2	CTGF
SMAD2	SERPINE1
SMAD4	ID2
LEF1	CCND2
TCF7	CCND2
TCF7	CCND3
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT3	SOCS2
STAT3	CCND3
STAT4	MYC
PAX6	INS
CREB3L4	MITF
MAPK3	CCND1
NFKB1	CXCL2
NFKB1	IL1B
NFKB1	NFKBIA
NFKB1	PLAU
NFKB1	TNFAIP3
NFKB1	TRAF1
NFKB1	CCL4L1
NFKB2	TNFSF13B
RELA	CXCL2
RELA	NFKB2
RELA	NFKBIA
RELA	PTGS2
RELB	TNFSF13B
RELB	ICAM1
RELB	CCL19
PIK3R5	PDPK1
PIK3CA	AKT3
PIK3CA	PDPK1
PIK3CD	AKT3
PIK3CG	AKT2
PIK3CG	PDPK1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
PIK3R3	AKT2
PIK3R3	PDPK1
BBC3	TP53
TP53	SESN3
TP53	PERP
EPAS1	PDGFB
EPAS1	TGFB1
FOS	CDK4
FOS	PGF
FOS	VEGFB
HIF1A	TGFA
JUN	MMP2
MYC	CDK4
NFKB1	TRAF5
NFKB2	TRAF2
RELA	NOS2
IRF1	IL12A
FOXO3	RBL2
CREB3L2	BCL2
CREB3L1	MCL1
PPARA	CYP7A1
PPARA	ACSL3
PPARA	ACADM
PPARD	CPT1B
PPARD	ANGPTL4
PPARD	UCP1
PPARG	CYP27A1
PPARG	ACSL6
PPARG	PCK2
RXRA	CYP7A1
RXRA	FABP1
RXRA	ACSL3
RXRA	ACSL6
RXRA	ACADL
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
NFYA	HLA-DPB1
NFYA	HLA-DQA1
NFYA	HLA-DRB3
MAPK1	IL1A
MAPK3	IL12A
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1B
MAPK11	IL6
RFX5	HLA-DRB5
RFX5	CD74
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF1	XRCC6
USF1	SERPINE1
CEBPA	ADH7
HIF1A	ADM
CREB1	ADRA1A
SP1	ADRA1A
TFAP2A	ADRA1A
CEBPB	AFP
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
ESR1	APOE
PPARG	APOE
USF2	APOE
TP53	AQP1
ATF1	AQP3
E2F4	CAV1
SP1	CAV1
RARB	CRABP2
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
CREB1	CYP11A1
JUN	F3
ATF1	GH2
SP1	GH2
EGR1	IFNG
REL	IFNG
STAT1	IFNG
CEBPA	IL6
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
TFAP2A	MYB
ESR1	MYC
JUN	NRAS
CREB1	NTS
MYC	ODC1
CEBPA	PCK2
TP53	PCNA
FOS	PDHA1
PAX6	PDHX
JUN	PENK
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
CEBPB	PRL
ETS1	PRL
CEBPB	PTGS2
CEBPD	PTGS2
SP1	TAF7
POU2F1	TFPI2
PAX1	VHL
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
