HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
KAT5	ESR1
MDFI	PIN1
PIN1	PPARG
MDFI	MYOD1
MYOD1	CREBBP
KAT5	EP300
MDFI	VHL
VHL	SP1
EP300	TFAP2A
EP300	SP3
KAT5	BRCA1
BRCA1	FLI1
VHL	HIF1A
EP300	ARNT
PIN1	SMAD3
PIN1	JUN
MYOD1	STAT3
EP300	ETS1
KAT5	CEBPA
PIN1	SMAD2
EP300	SMAD4
MDFI	CREB5
CREB5	ATF2
CREB5	JUND
EP300	JUNB
KAT5	RELA
EP300	NFKB1
PIN1	RARA
KAT5	UBE2I
UBE2I	PPARA
KAT5	GADD45G
GADD45G	PPARD
VHL	HSP90AA1
HSP90AA1	NR3C2
KAT5	CREB1
KAT5	RUVBL1
RUVBL1	LEF1
VHL	UBC
UBC	DAZAP2
DAZAP2	TCF7
UBE2I	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	PDGFRB
PDGFRB	ETV6
ETV6	FLI1
S1PR1	WWP2
WWP2	SMAD3
WWP2	SMAD2
SMAD3	SMAD4
SMAD3	JUNB
SMAD3	LEF1
WWP2	UBC
WWP2	SMAD7
SMAD7	TCF7L2
S1PR1	TRIP6
TRIP6	PYGO2
PYGO2	CTNNB1
HTR1A	S1PR1
TRIP6	PTK2
PTK2	TP53
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	ESR1
GNAI3	XPO1
XPO1	PPARG
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	SP1
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
ESR1	SP3
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
TRIP6	CREB5
CREB5	JUN
GNAI3	GNB2
GNB2	STAT3
YWHAQ	NCOA3
NCOA3	ETS1
SMAD3	CEBPA
TRIP6	UBE2C
UBE2C	RELA
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	AJUBA
AJUBA	RARA
NCOA1	PPARA
GNAI3	CAPNS1
CAPNS1	PPARGC1A
PPARGC1A	PPARD
GNAI3	OSBP
OSBP	CAND1
CAND1	NR3C2
HTR1A	HTR1D
NR3C2	SCNN1B
NR3C2	SGK1
SMAD2	CDKN1A
SMAD3	CDKN1A
SMAD4	CDKN1A
TP53	CDKN1A
TP53	GADD45B
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
SMAD3	MYC
CREBBP	CDKN1A
CREBBP	PFKFB3
EP300	CDKN1A
EP300	PFKFB3
HIF1A	CDKN1A
HIF1A	PFKFB3
ARNT	CDKN1A
ARNT	PFKFB3
STAT3	MYC
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
NFKB1	GADD45B
RELA	GADD45B
TP53	IGFBP3
CREB1	HLA-DMA
NFKB1	IL18
RELA	IL18
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
RELA	HDAC1
CREB1	HPGD
ETS1	HPGD
NFKB1	IER3
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
RARA	MIF
ESR1	MYC
JUN	MYC
NFKB1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
TP53	S100B
