GABRA1	PRKCD
PRKCD	STAT3
STAT3	PML
PML	E2F4
PRKCD	EP300
EP300	E2F1
EP300	CREBBP
STAT3	HIF1A
EP300	ARNT
PRKCD	ELAVL1
ELAVL1	E2F2
ELAVL1	E2F3
EP300	TP63
TP63	ETV4
EP300	RUNX1
STAT3	HDAC3
HDAC3	RUNX1T1
PRKCD	HSPA4
HSPA4	ERG
GABRA3	SDCBP2
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
CEBPA	E2F4
SDCBP2	ZNF581
ZNF581	KDM1A
KDM1A	E2F1
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREBBP
TP53	EP300
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	ARNT
BEND7	TRIM27
TRIM27	RB1
RB1	E2F2
RB1	E2F3
SDCBP2	PRPF40A
PRPF40A	HTT
HTT	ETV4
TRAF6	RUNX1
PRPF40A	UBQLN4
UBQLN4	RUNX1T1
SDCBP2	SEC23A
SEC23A	HSPA4
TSPO	PIP3
PIP3	RBL2
RBL2	E2F4
TSPO	ATP5F1
ATP5F1	KDM1A
ATP5F1	HNRNPA1
HNRNPA1	XRCC6
XRCC6	CREBBP
KDM1A	EP300
TSPO	ARF4
ARF4	GNB2L1
GNB2L1	HIF1A
HNRNPA1	ELAVL1
ELAVL1	ARNT
HNRNPA1	MOV10
MOV10	E2F2
GNB2L1	TP63
HNRNPA1	PRMT1
PRMT1	RUNX1
KDM1A	HDAC3
HNRNPA1	HSPA8
HSPA8	ERG
RUNX1	JUP
RUNX1T1	JUP
CREB3L4	PCNA
MAPK10	JUN
CREBBP	EPO
CREBBP	PFKFB3
EP300	EPO
EP300	PFKFB3
HIF1A	EPO
HIF1A	PFKFB3
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
CEBPE	MYC
ESR1	MYC
JUN	NFKB2
SP1	NFKB2
