CACNA1C	COPS5
COPS5	CDK2
CDK2	E2F4
COPS5	TP53
TP53	CREB1
COPS5	HIF1A
COPS5	SMAD7
SMAD7	YAP1
COPS5	CTNNB1
CTNNB1	LEF1
COPS5	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
COPS5	YWHAZ
YWHAZ	WWTR1
COPS5	JUN
CTNNB1	CREBBP
CTNNB1	EP300
COPS5	NCOA1
NCOA1	ARNT
TP53	TFAP2A
CACNA2D1	RAB11A
RAB11A	RCHY1
RCHY1	AR
AR	E2F4
RCHY1	TP53
RAB11A	RAB5A
RAB5A	RAB1A
RAB1A	CREB1
TP53	HIF1A
RAB11A	YWHAG
YWHAG	YAP1
RAB11A	OPTN
OPTN	PIAS4
PIAS4	LEF1
RCHY1	UBC
AR	TCF7L2
RAB5A	RAB8B
RAB8B	CTNNB1
YWHAG	WWTR1
RAB5A	AP1G1
AP1G1	JUN
AR	CREBBP
RAB5A	PIK3R1
PIK3R1	EP300
RAB11A	KCNH2
KCNH2	HSP90AA1
HSP90AA1	ARNT
CACNA1S	SRI
SRI	STAT3
STAT3	PML
PML	E2F4
SRI	ANXA7
ANXA7	TP53
STAT3	EP300
EP300	CREB1
STAT3	HIF1A
PML	YAP1
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
PML	TCF7L2
PML	CTNNB1
HIF1A	WWTR1
STAT3	JUN
SRI	TCF12
TCF12	CREBBP
PML	ARNT
EP300	TFAP2A
CACNA1B	UBE2L3
UBE2L3	CBL
CBL	SMAD3
SMAD3	E2F4
CACNA1B	MAP1LC3B
MAP1LC3B	TP53
UBE2L3	YAP1
YAP1	CREB1
UBE2L3	RELA
RELA	HIF1A
UBE2L3	SMAD7
SMAD7	LEF1
MAP1LC3B	TAX1BP1
TAX1BP1	DAZAP2
SMAD7	TCF7L2
CBL	CTNNB1
CBL	YWHAZ
RELA	JUN
RELA	CREBBP
RELA	EP300
UBE2L3	NCOA1
CA1	TFCP2
TFCP2	HDAC1
HDAC1	E2F4
TFCP2	SUMO1
SUMO1	TP53
HDAC1	CREB1
TFCP2	HDAC2
HDAC2	HIF1A
SUMO1	PML
SUMO1	PIAS4
SUMO1	HGS
HGS	DAZAP2
TFCP2	CDC73
CDC73	CTNNB1
SUMO1	KLF5
KLF5	WWTR1
PML	JUN
HDAC2	CREBBP
HDAC1	EP300
SMPD1	OS9
OS9	PPIB
PPIB	ENO1
ENO1	E2F4
OS9	SERPINH1
SERPINH1	TP53
SMPD1	ALDH3A2
ALDH3A2	ATR
ATR	CREB1
OS9	HIF1A
ENO1	YAP1
HIF1A	CTNNB1
SERPINH1	UBQLN4
UBQLN4	DAZAP2
SERPINH1	CTBP1
CTBP1	TCF7L2
HIF1A	JUN
HIF1A	CREBBP
OS9	HSPA5
HSPA5	EP300
HIF1A	ARNT
CREB1	FOSB
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
CREBBP	ENO3
EP300	ENO3
HIF1A	ENO3
ARNT	ENO3
YAP1	BIRC5
YAP1	ITGB2
WWTR1	BIRC5
WWTR1	ITGB2
CREB1	AQP3
CREB1	ATP1A1
TFAP2A	CCNB1
E2F4	CDC45
CREB1	F3
JUN	F3
HIF1A	ITGB2
TP53	PLK1
CREB1	POLD2
JUN	POLD2
TFAP2A	POLD2
E2F4	TK1
