HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	E2F4
CBL	CTNNB1
CTNNB1	COPS5
COPS5	CREB3
SMAD3	ATF2
CBL	GRB2
GRB2	RBM33
RBM33	ATF6B
GRB2	EP300
EP300	ATF4
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	KRT15
KRT15	CREB5
CTNNB1	BRCA1
EP300	USF2
CBL	HSPA4
HSPA4	NFKB1
EP300	ETS1
CBL	HSPA8
HSPA8	RELA
GRB2	HSP90AA1
HSP90AA1	NFIC
SMAD3	JUN
SMAD3	FOS
CBL	EGFR
EGFR	STAT3
EGFR	STAT1
EGFR	STAT5A
EGFR	STAT5B
SMAD3	FHL1
FHL1	STAT4
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	CALM1
CALM1	AR
AR	E2F4
DRD2	EPB41L1
EPB41L1	COPS5
FLNA	LMNA
LMNA	PML
PML	ATF2
FLNA	ILF2
ILF2	MOV10
MOV10	ATF6B
DRD2	PAWR
PAWR	SHMT2
SHMT2	ATF4
FLNA	REL
REL	CEP19
CEP19	CREB3L2
COPS5	PGRMC1
PGRMC1	CREB3L1
EPB41L1	ITPR1
ITPR1	BRCA1
BRCA1	CREB5
REL	EP300
REL	NFKB1
REL	RELA
CALM1	HSP90AA1
FLNA	RBM39
RBM39	JUN
PML	FOS
PAWR	STAT1
STAT1	STAT3
PAWR	SQSTM1
SQSTM1	STAT5A
RBM39	PGR
PGR	STAT5B
DRD2	KCNJ3
KCNJ3	ADRB2
ADRB2	STAT4
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	E2F4
TRIP6	SRC
SRC	HDAC3
HDAC3	CREB3
TRIP6	CREB5
CREB5	ATF2
S1PR1	WWP2
WWP2	PTCH1
