DDC	RELA
RELA	TP53
RELA	NFKB1
RELA	HIF1A
RELA	CREBBP
RELA	EP300
EP300	ARNT
RELA	CEBPB
RELA	SMAD4
EP300	SMAD2
RELA	SMAD3
RELA	JUN
RELA	NFKB2
EP300	ETS1
RELA	STAT3
CREBBP	ENO1
CREBBP	ENO3
CREBBP	NOS2
CREBBP	PFKFB1
EP300	ENO1
EP300	ENO3
EP300	NOS2
EP300	PFKFB1
HIF1A	ENO1
HIF1A	ENO3
HIF1A	NOS2
HIF1A	PFKFB1
ARNT	ENO1
ARNT	ENO3
ARNT	NOS2
ARNT	PFKFB1
NFKB1	TRAF1
RELA	TRAF1
TP53	BAI1
TP53	TP53I3
HIF1A	TGFB3
NFKB1	NOS2
NFKB2	NOS2
NFKB2	TRAF1
RELA	NOS2
SMAD2	PITX2
SMAD3	PITX2
SMAD4	PITX2
CEBPB	CSRP1
STAT3	CSRP1
JUN	F3
NFKB1	F3
RELA	F3
CEBPB	F8
NFKB1	F8
TP53	PLK1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
