DDC	RELA
RELA	SP1
RELA	JUN
RELA	TP63
TP63	ETV4
RELA	HSPA8
HSPA8	ERG
RELA	TP53
RELA	SMAD3
SMAD3	CEBPA
RELA	EP300
EP300	ETS1
EP300	TFAP2A
RELA	BRCA1
BRCA1	FLI1
RELA	TBP
TBP	SPI1
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
TP53	CDKN1A
CREBBP	CDKN1A
EP300	CDKN1A
HIF1A	CDKN1A
ARNT	CDKN1A
TP53	CD82
ETS1	MMP2
JUN	MMP2
SP1	ALDH3A1
SP1	CD99
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
SP1	CDKN1A
TFAP2A	CDKN1A
JUN	GJA1
SP1	GJA1
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
TP53	PTTG1
RELA	S100A6
JUN	SERPINB2
SP1	SERPINB2
ERG	VIM
ETV4	VIM
