GABRA1	PRKCD
PRKCD	STAT3
STAT3	NFKB1
STAT3	RELA
PRKCD	HSP90AA1
HSP90AA1	PPARA
GABRA3	SDCBP2
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	RELA
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	PPARA
GABRA4	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	AKAP13
AKAP13	PPARA
GABRB1	NOD1
NOD1	COPS6
COPS6	NFKB1
NOD1	RNF34
RNF34	TP53
NOD1	HSP90AA1
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	RELA
RELA	PPARA
GABRB3	MEOX2
MEOX2	RELA
RELA	NFKB1
GABRD	UBQLN1
UBQLN1	APP
GABRE	HLA-A
HLA-A	STAT3
GABRE	CUX1
CUX1	SATB1
SATB1	UBE2I
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
GABARAP	ATG7
ATG7	SIRT1
SIRT1	PPARA
NFKB1	NFKBIA
RELA	NFKBIA
NFKB1	TRAF5
RELA	TRAF5
PPARA	NFKBIA
