TUBB1	SNCA
SNCA	HSPA8
HSPA8	RELA
SNCA	PTK2
PTK2	TP53
SNCA	AKT1
AKT1	ESR1
SNCA	MAPK1
MAPK1	PPARG
SNCA	MAPK8
MAPK8	SP1
SNCA	APP
APP	AKAP13
AKAP13	PPARA
SNCA	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARD
SNCA	CLTC
CLTC	EP300
EP300	USF2
SNCA	PIN1
PIN1	YAP1
MAPK1	HIF1A
EP300	EGR1
AKT1	CREBBP
EP300	ARNT
SNCA	HSPA4
HSPA4	NFKB1
SNCA	UBC
UBC	ATF6
PIN1	SMAD2
SNCA	CRYAB
CRYAB	SMAD4
AKT1	CREB1
MAPK8	ATF2
EP300	SP3
BCL2	BRCA1
BRCA1	RELA
BCL2	TP53
BRCA1	ESR1
BCL2	PIN1
PIN1	PPARG
BRCA1	SP1
BCL2	HSP90AA1
HSP90AA1	PPARA
HSP90AA1	PPARD
BRCA1	USF2
BCL2	TP53BP2
TP53BP2	YAP1
BCL2	HIF1A
TP53	EGR1
BRCA1	CREBBP
BRCA1	EP300
BRCA1	ARNT
BCL2	CHUK
CHUK	NFKB1
BRCA1	GTF2I
GTF2I	ATF6
TP53	SMAD2
BCL2	CRYAB
BRCA1	CREB1
EP300	ATF2
BCL2	ITLN1
ITLN1	SP3
MAP2	DHX9
DHX9	RELA
MAP2	PSMC5
PSMC5	TP53
MAP2	ACTB
ACTB	ESR1
MAP2	NEDD4
NEDD4	PPARG
PSMC5	SP1
MAP2	APP
MAP2	FYN
FYN	CTNNB1
CTNNB1	PPARD
ACTB	EP300
APP	TAF6
TAF6	YAP1
APP	MCM7
MCM7	HIF1A
PSMC5	PSMA3
PSMA3	EGR1
APP	CDC20
CDC20	CREBBP
SP1	ARNT
APP	GSK3B
GSK3B	NFKB1
APP	SYVN1
SYVN1	ATF6
NEDD4	SMAD2
APP	CSNK1D
CSNK1D	SMAD4
APP	KAT5
KAT5	CREB1
APP	MAPK8
SP1	SP3
MAP4	LSM3
LSM3	SNRPD3
SNRPD3	RELA
MAP4	SERBP1
SERBP1	TP53
LSM3	MED1
MED1	ESR1
MED1	PPARG
TP53	SP1
LSM3	LSM1
LSM1	HSP90AA1
RELA	USF2
MED1	YAP1
TP53	HIF1A
SERBP1	DAXX
DAXX	CREBBP
TP53	EP300
HSP90AA1	ARNT
SERBP1	RPS3
RPS3	NFKB1
MAP4	LSM8
LSM8	GTF2I
SERBP1	PIAS4
PIAS4	SMAD2
LSM3	THOC5
THOC5	SMAD4
DAXX	CREB1
LSM3	ETR1
ETR1	ATF2
SERBP1	PIAS1
PIAS1	SP3
MAPT	HSPA8
MAPT	YWHAZ
YWHAZ	TP53
MAPT	YWHAQ
YWHAQ	ESR1
YWHAZ	CTNNB1
CTNNB1	PPARG
MAPT	SYK
SYK	SP1
MAPT	SIRT1
SIRT1	PPARA
MAPT	ABL1
ABL1	BRCA1
YWHAQ	YAP1
MAPT	SQSTM1
SQSTM1	HIF1A
CTNNB1	CREBBP
CTNNB1	EP300
YWHAQ	NCOA1
NCOA1	ARNT
MAPT	GSK3B
MAPT	UBC
YWHAZ	CYFIP2
CYFIP2	SMAD4
ABL1	CREB1
YWHAZ	HDAC4
HDAC4	ATF2
ESR1	SP3
NR1I2	NCOR2
NCOR2	RELA
NR1I2	PSMC5
NR1I2	RXRA
RXRA	ESR1
RXRA	PPARG
RXRA	SP1
RXRA	PPARA
NCOR2	PPARD
RXRA	EP300
RXRA	MED1
EP300	HIF1A
NR1I2	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
NR1I2	NCOA3
NCOA3	CREBBP
NR1I2	NCOA1
NCOA3	NFKB1
NCOR2	SRF
SRF	ATF6
EP300	SMAD2
EP300	SMAD4
NR1I2	NCOR1
NCOR1	CREB1
TP53	GADD45B
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
ARNT	SERPINE1
YAP1	SERPINE1
SMAD2	SERPINE1
SMAD4	SERPINE1
NFKB1	GADD45B
RELA	GADD45B
TP53	IGFBP3
TP53	SERPINE1
CREB1	MCL1
ATF2	MCL1
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
NFKB1	IER3
SP1	IGFBP3
SP3	IGFBP3
RELA	S100A6
EGR1	SERPINE1
ESR1	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
USF2	SERPINE1
ATF6	XBP1
