GABRA1	PRKCD
PRKCD	TP53
PRKCD	EP300
EP300	CREBBP
PRKCD	STAT3
STAT3	HIF1A
EP300	ARNT
EP300	FOXO3
PRKCD	HSP90AA1
HSP90AA1	PPARA
PRKCD	SP1
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
EP300	SP3
EP300	USF2
GABRG2	GABARAP
GABARAP	DVL2
DVL2	TP53
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
GABARAP	GBAS
GBAS	FOXO3
ATG7	SIRT1
SIRT1	PPARA
SMAD3	SP1
NEDD4	SRC
SRC	RXRA
NEDD4	PPARG
PPARG	RXRB
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREBBP
TP53	EP300
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	ARNT
TRAF6	AKT1
AKT1	FOXO3
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	PPARA
TP53	SP1
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
PRPF40A	SFPQ
SFPQ	SP3
GABRA4	APP
APP	MAPK8
MAPK8	TP53
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	MYC
MYC	FOXO3
AKAP13	PPARA
MAPK8	SP1
APP	GSK3B
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	EEF1D
EEF1D	RELA
RELA	SP3
RELA	USF2
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	PSMA7
PSMA7	HIF1A
NOD1	HSP90AA1
HSP90AA1	ARNT
NOD1	UBC
UBC	BTRC
BTRC	FOXO3
HSP90AA1	SP1
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
UBC	CUL1
UBC	E2F1
E2F1	SP3
UBC	BRCA1
BRCA1	USF2
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	TP53
TRAK2	PRKAB2
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
PIAS2	ARNT
GSK3B	CTNNB1
CTNNB1	FOXO3
GSK3B	RELA
RELA	PPARA
PRKAB2	CRX
CRX	SP1
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
CRX	SP3
GABRB3	MEOX2
MEOX2	RELA
RELA	TP53
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	HIF1A
GABRB3	PRKACA
PRKACA	HSP90AA1
MEOX2	IKBKB
IKBKB	FOXO3
RELA	SP1
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
GABRD	UBQLN1
UBQLN1	RAD23A
RAD23A	TP53
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	APP
UBQLN1	UBQLN4
UBQLN4	RXRA
UBQLN1	UBE3A
UBE3A	RARA
RARA	RXRG
CREBBP	SP3
RAD23B	BRCA1
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
CUX1	SATB1
SATB1	EP300
GABRE	HLA-A
HLA-A	STAT3
SATB1	PML
PML	ARNT
GP1BB	YWHAZ
YWHAZ	FOXO3
SATB1	UBE2I
CUX1	CCNA1
CCNA1	SP1
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
CUX1	TLE4
TLE4	HDAC1
HDAC1	SP3
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
FOXO3	CDKN1B
PPARA	APOA1
PPARA	APOA2
RXRA	APOA1
RXRA	APOA2
RXRB	APOA1
RXRB	APOA2
RXRG	APOA1
RXRG	APOA2
SP3	APOA1
USF2	APOA2
SP1	CD99
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
SP1	TTR
