GABRA1	PRKCD
PRKCD	TP53
PRKCD	STAT3
STAT3	NFKB1
STAT3	RELA
PRKCD	EP300
EP300	CREB1
EP300	ATF2
STAT3	PML
PML	E2F4
EP300	ATF4
STAT3	COPS5
COPS5	CREB3
PRKCD	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
STAT3	JUN
PRKCD	SP1
EP300	ETS1
TP53	NFYA
NFYA	ATF6B
EP300	BRCA1
BRCA1	CREB5
EP300	CREBBP
STAT3	HIF1A
EP300	ARNT
PRKCD	STAT1
PRKCD	HSP90AA1
HSP90AA1	NFIC
PRKCD	YWHAG
YWHAG	YAP1
BRCA1	ATF1
HSP90AA1	PPARA
STAT3	SMAD1
SMAD1	LEF1
ELAVL1	DAZAP2
DAZAP2	TCF7
ELAVL1	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
PRKCD	APP
APP	ELK1
EP300	RXRA
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
EP300	STAT5A
INSR	STAT5B
STAT3	TRIM28
TRIM28	STAT4
EP300	STAT2
STAT3	STAT6
EP300	JUND
APP	MYC
PRKCD	TNFRSF1A
TNFRSF1A	SOS1
STAT3	EGFR
EGFR	SOS2
EP300	TFAP2A
EP300	TP63
TP63	ETV4
ELAVL1	CEBPA
HSP90AA1	NR3C2
STAT3	HDAC1
HDAC1	CREM
GABRG2	GABARAP
GABARAP	DVL2
DVL2	TP53
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
GABARAP	NEDD4
NEDD4	AKT1
AKT1	CREB1
NEDD4	SMAD3
SMAD3	ATF2
SMAD3	E2F4
NEDD4	BTRC
BTRC	ATF4
GABARAP	ATG7
ATG7	SHMT2
SHMT2	CREB3
NEDD4	SNCA
SNCA	Dynll1
Dynll1	CREB3L2
GABARAP	ULK1
ULK1	PRKAB2
PRKAB2	CREB3L1
TAX1BP1	ITCH
ITCH	JUN
SMAD3	SP1
ATG7	EP300
ITCH	PTCH1
PTCH1	ATF6B
NEDD4	KIFC3
KIFC3	CREB5
SMAD3	CREBBP
GABARAP	SQSTM1
SQSTM1	HIF1A
TAX1BP1	RAD18
RAD18	BRCA1
GABARAP	TBC1D15
TBC1D15	STAT3
ATG7	STAT1
KEAP1	HSP90AA1
RAD18	YAP1
GABARAP	ATG13
ATG13	HOF1
HOF1	ATF1
ATG7	SIRT1
SIRT1	PPARA
TAX1BP1	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7L2
DAZAP2	TCF7L1
DVL2	WWTR1
WWTR1	TEAD1
TAX1BP1	IKBKE
IKBKE	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
SNCA	ELK1
NEDD4	SRC
SRC	RXRA
NEDD4	PPARG
PPARG	RXRB
SQSTM1	STAT5A
NEDD4	EGFR
EGFR	STAT5B
SQSTM1	TKT
TKT	STAT4
EGFR	STAT2
TAX1BP1	DSTN
DSTN	STAT6
SMAD3	JUND
NEDD4	YY1
YY1	MYC
EGFR	SOS1
PPARG	TFAP2A
NEDD4	SMAD2
SMAD2	ETV4
SMAD3	CEBPA
CREBBP	CREM
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TP53	RELA
TP53	CREB1
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
CEBPA	E2F4
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	BTRC
IRAK1	EMD
EMD	CREB3
SDCBP2	PRPF40A
PRPF40A	HNRNPK
HNRNPK	ELAVL1
PRPF40A	UBQLN4
UBQLN4	RUNX1T1
RUNX1T1	CREB3L1
ZCCHC10	PIN1
PIN1	JUN
TP53	SP1
TP53	ETS1
BEND7	TRIM27
TRIM27	NFYC
NFYC	ATF6B
TIFA	TRAF6
TRAF6	TRAF2
TRAF2	CREB5
TP53	CREBBP
TP53	EP300
TRAF6	HIF1A
HIF1A	ARNT
TP53	BRCA1
TRAF6	STAT3
IRAK1	STAT1
TRAF6	SMURF1
SMURF1	NFIC
PIN1	YAP1
PRPF40A	CSNK2A2
CSNK2A2	ATF1
PRPF40A	UBE2I
UBE2I	PPARA
TRIM27	PIAS4
PIAS4	LEF1
UBQLN4	DAZAP2
UBE2I	TCF7L2
ZNF581	SUV39H1
SUV39H1	CTNNB1
TEAD4	TEAD1
C1QBP	PHB2
PHB2	TEAD3
SDCBP2	C1orf35
C1orf35	APP
UBE2I	RXRA
IRAK1	CUL1
CUL1	RXRG
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	STAT5A
TRAF6	NTRK1
NTRK1	STAT5B
TRIM27	PIAS2
PIAS2	STAT4
STAT1	STAT2
ZCCHC10	EEF1A1
EEF1A1	STAT6
SDCBP2	SEC23A
SEC23A	TPM1
TPM1	JUND
NTRK1	SOS1
NTRK1	SOS2
TP53	TFAP2A
PRPF40A	HTT
HTT	ETV4
IRAK1	HSP90AA1
TRIM27	HDAC1
GABRA4	APP
APP	MAPK8
MAPK8	TP53
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	KAT5
KAT5	CREB1
EEF1D	HCFC1
HCFC1	E2F4
APP	PSEN2
PSEN2	APH1A
APH1A	ATF4
HCFC1	CREB3
PSEN2	ELAVL1
APP	CUL3
CUL3	PGRMC1
PGRMC1	CREB3L1
MAPK8	JUN
MAPK8	SP1
APP	MAPK7
MAPK7	ETS1
CUL3	NXF1
NXF1	ATF6B
MAPK8	TRAF2
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
ELAVL1	ARNT
KAT5	BRCA1
MAPK8	STAT3
APP	HDAC4
HDAC4	STAT1
ELAVL1	NFIC
APP	TAF6
TAF6	YAP1
ATF2	ATF1
AKAP13	PPARA
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
HGS	INSR
MCM7	TRIM27
KAT5	E2F1
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
MAPK8	PIAS2
ELAVL1	STAT2
HGS	AHCYL1
AHCYL1	STAT6
MAPK8	JUND
SHC1	SOS1
SHC1	SOS2
MYC	TFAP2A
APP	HSPA8
HSPA8	HTT
MAPK8	CEBPA
APP	C9orf41
C9orf41	NR3C2
PSEN2	KCNIP3
KCNIP3	CREM
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	COPS6
COPS6	NFKB1
NOD1	UBC
UBC	CUL3
CUL3	ATF2
UBC	BRCA1
BRCA1	E2F4
UBC	BTRC
UBC	EMD
UBC	PSMB5
PSMB5	RND1
RND1	CREB3L2
UBC	VDAC1
VDAC1	TSPO
