CHRM1	GPRASP2
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	NR3C2
GPRASP2	EIF3E
EIF3E	NCOA3
NCOA3	CEBPA
GPRASP2	RPS6KA5
RPS6KA5	CREB1
GPRASP2	AGO1
AGO1	RELA
GPRASP2	TXN
TXN	TP53
TP53	EGR1
TXN	NFKB1
NFKB1	SP1
TXN	PRDX1
PRDX1	YAP1
AGO2	BTRC
BTRC	WWTR1
TXN	NR3C1
NR3C1	NCOA1
NCOA1	TEAD1
EIF3E	TRIM27
TRIM27	TEAD4
GPRASP2	KEAP1
KEAP1	PIDD1
PIDD1	TEAD3
TXN	COPS5
COPS5	SMAD4
TP53	ETS1
GPRASP2	AP1G1
AP1G1	JUN
JUN	FOS
EIF3E	FBXW7
FBXW7	MYC
AP1G1	ARF1
ARF1	SPI1
GPRASP2	AP1M1
AP1M1	BRCA1
BRCA1	FLI1
NR3C1	SMAD3
TP53	TFAP2A
TP53	SMAD2
TP53	HTT
HTT	ETV4
HSP90AA1	NFIC
GPRASP2	TRIM32
TRIM32	RXRA
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
CHRM2	SET
SET	APP
APP	C9orf41
C9orf41	NR3C2
CHRM2	Set
Set	Csnk1e
Csnk1e	C1QBP
C1QBP	CEBPA
SET	NR3C1
NR3C1	CREB1
SET	CCNB1
CCNB1	RELA
SET	TP53
NR3C1	NFKB1
TP53	SP1
SET	XPO1
XPO1	YAP1
APP	YWHAG
YWHAG	WWTR1
SET	GZMA
GZMA	GOLGA2
GOLGA2	TEAD4
YAP1	TEAD3
APP	CSNK1D
CSNK1D	SMAD4
NR3C1	JUN
Csnk1e	NACA
NACA	FOS
APP	MYC
APP	MAPK8
MAPK8	SPI1
APP	ELK1
ELK1	FLI1
NR3C1	HSP90AA1
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
NR3C1	NCOR2
NCOR2	RXRG
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
CHRM3	SET
MAPK8	CEBPA
CSNK1A1	CSNK1D
APP	MAPK7
MAPK7	FOS
APP	GSK3B
GSK3B	RXRA
CREB1	FOSB
NR3C2	SGK1
YAP1	CTGF
YAP1	AFP
WWTR1	CTGF
WWTR1	AFP
SMAD2	CTGF
SMAD3	CTGF
SMAD4	CTGF
TEAD1	CTGF
TEAD4	CTGF
TEAD3	CTGF
TP53	THBS1
ETS1	MMP2
FOS	MMP2
JUN	MMP2
MYC	MMP2
RXRA	FABP1
RXRA	PCK2
RXRB	FABP1
RXRB	PCK2
RXRG	FABP1
RXRG	PCK2
CEBPA	AFP
NFIC	AFP
SP1	CTGF
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
CEBPA	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
CEBPA	PCK2
NFIC	PCK2
RELA	S100A6
EGR1	THBS1
