PDE4A	SQSTM1
SQSTM1	YWHAZ
YWHAZ	TP53
SQSTM1	MAPK1
MAPK1	SP1
MAPK1	JUN
SQSTM1	BAG3
BAG3	TFAP2A
SQSTM1	MAPK14
MAPK14	CREB1
YWHAZ	ABL1
ABL1	FOS
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
MAPK1	SMAD3
SQSTM1	ISG15
ISG15	SMAD4
MAPK1	JUND
SQSTM1	NCOR1
NCOR1	ETS1
SQSTM1	HIF1A
MAPK1	CREBBP
MAPK1	EP300
HIF1A	ARNT
SQSTM1	NTRK1
NTRK1	STAT1
NTRK1	STAT3
SQSTM1	BCL2
BCL2	HSP90AA1
HSP90AA1	NFIC
YWHAZ	NFATC4
NFATC4	CEBPA
YWHAZ	RFWD2
RFWD2	ETV4
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
SQSTM1	MYD88
SQSTM1	SNCA
SNCA	MAPK3
BAG3	MAPK11
MAPK1	MAPK12
MAPK12	MAPK13
SQSTM1	FAS
FAS	MAPK8
SQSTM1	NFE2L2
NFE2L2	MAPK9
TP53	MAPK10
MAPK1	CEBPB
HSP90AA1	NR3C2
YWHAZ	YWHAQ
YWHAQ	YAP1
TP53	EGR1
YWHAZ	WWTR1
RFWD2	JUNB
PDE4B	MAGEA11
MAGEA11	EP300
EP300	TP53
EP300	SP1
EP300	JUN
EP300	TFAP2A
EP300	CREB1
EP300	FOS
EP300	NFKB1
EP300	RELA
EP300	SMAD3
EP300	SMAD4
EP300	JUND
EP300	ETS1
EP300	HIF1A
EP300	CREBBP
EP300	ARNT
EP300	STAT1
EP300	STAT3
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
MAGEA11	MTA1
MTA1	CEBPA
EP300	TP63
TP63	ETV4
MAGEA11	NR3C1
NR3C1	NFKB2
EP300	HDAC6
HDAC6	MYD88
EP300	MAPK1
MAGEA11	VTA1
VTA1	MAPK3
EP300	MAPK14
EP300	HDAC3
HDAC3	MAPK11
SMAD4	MAPK13
MAGEA11	RB1
RB1	MAPK8
EP300	CTNNB1
CTNNB1	MAPK9
EP300	CEBPB
SMAD3	YAP1
EP300	EGR1
MAGEA11	MED28
MED28	WWTR1
EP300	JUNB
PDE4C	SRI
SRI	ANXA7
ANXA7	TP53
SRI	STAT3
STAT3	SP1
STAT3	JUN
STAT3	EP300
STAT3	PML
PML	FOS
STAT3	NFKB1
STAT3	RELA
SRI	TCF12
TCF12	SMAD3
STAT3	HIF1A
TCF12	CREBBP
PML	ARNT
STAT3	STAT1
SRI	SOD1
SOD1	RFX1
RFX1	NFIC
STAT3	CDKN1A
CDKN1A	CEBPA
TCF12	SMAD2
SMAD2	ETV4
STAT3	NFKB2
STAT3	IL1RAP
IL1RAP	MYD88
STAT3	MAPK1
PML	MAPK3
PML	MAPK11
SOD1	GPX4
GPX4	MAPK13
STAT3	MAPK8
STAT3	EGFR
EGFR	MAPK9
JUN	MAPK10
SRI	ALG2
ALG2	HSP90AA1
PML	YAP1
HIF1A	WWTR1
PDE4D	LYN
LYN	TP53
PDE4D	APP
APP	MAPK8
MAPK8	SP1
PDE4D	MDM2
MDM2	JUN
APP	MYC
MYC	TFAP2A
APP	KAT5
KAT5	CREB1
APP	MAPK7
MAPK7	FOS
APP	GSK3B
GSK3B	NFKB1
MDM2	RELA
GSK3B	SMAD3
APP	CSNK1D
CSNK1D	SMAD4
MDM2	JUND
MAPK7	ETS1
PDE4D	GNB2L1
GNB2L1	HIF1A
LYN	CREBBP
MDM2	EP300
GNB2L1	RB1
RB1	ARNT
PDE4D	ARRB2
ARRB2	STAT1
MAPK8	STAT3
PDE4D	ARRB1
ARRB1	HSP90AA1
MAPK8	CEBPA
GNB2L1	TP63
ARRB2	NFKBIA
NFKBIA	NFKB2
MDM2	MYD88
ARRB2	MAPK1
ARRB2	MAPK3
ARRB1	MAPK14
MDM2	PML
APP	MAPK8IP2
MAPK8IP2	MAPK13
ARRB2	MAPK9
MAPK8IP2	MAPK10
GSK3B	CEBPB
APP	C9orf41
C9orf41	NR3C2
APP	TAF6
TAF6	YAP1
CREBBP	EGR1
APP	YWHAG
YWHAG	WWTR1
MAPK8	JUNB
PDE3A	UBE4B
UBE4B	TP53
PDE3A	GANAB
GANAB	MAPK8
MAPK8	JUN
PDE3A	JUP
JUP	APC
APC	TFAP2A
TP53	CREB1
MAPK8	EP300
JUP	NFKBIE
NFKBIE	NFKB1
NFKBIE	RELA
PDE3A	MMS19
MMS19	AATF
AATF	SMAD3
MAPK8	JUND
MMS19	RBBP6
RBBP6	ETS1
MMS19	ESR1
ESR1	HIF1A
JUP	CDH1
CDH1	CREBBP
JUP	ERBB2
ERBB2	STAT1
CDH1	HSP90AA1
UBE4B	TP63
NFKBIE	NFKB2
MMS19	HDAC6
ESR1	MAPK1
HDAC6	MAPK3
UBE4B	CBL
CBL	MAPK14
PDE3A	GMPPB
GMPPB	LMNA
LMNA	PML
UBE4B	VCP
VCP	MAPK13
MAPK8	MAPK9
ESR1	CEBPB
MMS19	XPO1
XPO1	YAP1
MAPK8	YWHAZ
NR3C2	ATP1A2
NR3C2	SGK1
NFKB1	IL6
RELA	IL6
CREBBP	LTBR
CREBBP	TIMP1
EP300	LTBR
EP300	TIMP1
HIF1A	LTBR
HIF1A	TIMP1
ARNT	LTBR
ARNT	TIMP1
YAP1	CTGF
YAP1	AFP
YAP1	ID3
WWTR1	CTGF
WWTR1	AFP
SMAD3	CTGF
SMAD4	CTGF
SMAD4	ID3
MYD88	CXCL2
MYD88	IL6
NFKB1	CXCL2
RELA	CXCL2
TP53	BAX
TP53	TNFRSF10B
TP53	CCNG2
NFKB1	TRAF4
NFKB2	TRAF4
RELA	TRAF4
FOS	IL6
JUN	IL6
MAPK14	IL6
MAPK14	IL18
NFKB1	CEBPB
NFKB1	IL18
MAPK1	IL6
MAPK1	IL18
MAPK3	IL6
MAPK3	IL18
MAPK8	IL6
MAPK8	IL18
MAPK11	IL6
MAPK11	IL18
MAPK9	IL6
MAPK9	IL18
MAPK10	IL6
MAPK10	IL18
MAPK13	IL6
MAPK13	IL18
RELA	CEBPB
RELA	IL18
NFIC	ADA
SP1	ADA
CEBPA	AFP
CEBPB	AFP
NFIC	AFP
SP1	APEX1
SP1	CTGF
SP1	GYPC
CEBPA	IL6
CEBPB	IL6
CREB1	IL6
EGR1	IL6
JUND	IL6
NFIC	IL6
TFAP2A	IL6
NFIC	POLE2
CEBPA	PREB
SP1	TAF7
TFAP2A	TAF7
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
