ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	HSPA8
HSPA8	UBE3A
UBE3A	CEBPA
AP2M1	CLTC
CLTC	EP300
EP300	CEBPB
EP300	NFKB1
HSPA8	RELA
EP300	STAT3
EP300	CREB1
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
ADRA1D	GOPC
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
GOPC	RELA
RELA	CEBPB
RELA	NFKB1
RELA	STAT3
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	CDK4
CDK4	CEBPA
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	SMAD3
SMAD3	CEBPB
UCHL1	COPS5
COPS5	NFKB1
GNAI2	NPM1
NPM1	RELA
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
UCHL1	TP53
TP53	CREB1
ADRA2B	UCHL1
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	HNRNPK
HNRNPK	CEBPB
TP53	RELA
UCHL1	HSP90AA1
HSP90AA1	STAT3
ADRA2C	UCHL1
ADRA2C	EIF2B1
ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	C1QBP
C1QBP	CEBPA
MAPK1	CEBPB
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	AKT1
AKT1	CREB1
ADRB2	STAT3
STAT3	SP1
ADRB2	C1QBP
ADRB2	HNRNPK
STAT3	NFKB1
STAT3	RELA
ADRB2	MAPK14
MAPK14	CREB1
ADRB3	SRC
SRC	STAT3
STAT3	CDKN1A
CDKN1A	CEBPA
SRC	EGFR
EGFR	CEBPB
SRC	CREBBP
CREBBP	CREB1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
CEBPA	TWF2
CREB1	TWF2
CEBPA	ALB
CEBPB	ALB
SP1	ALB
CEBPA	CDKN1A
SP1	CDKN1A
STAT3	CDKN1A
CREB1	GSTP1
SP1	KRT18
