CA1	TFCP2
TFCP2	SUMO1
SUMO1	PML
PML	JUN
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	HDAC2
HDAC2	SP1
SUMO1	TP53
TP53	EGR1
HDAC2	MYC
HDAC2	CREBBP
HDAC1	EP300
HDAC2	HIF1A
PML	ARNT
HDAC1	POU2F1
SUMO1	BLM
BLM	ELK4
PML	SRF
TFCP2	EAF1
EAF1	TOP1
TOP1	ELK3
CA2	NONO
NONO	HDAC3
HDAC3	JUN
HDAC3	NFKB1
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	SP1
CDKN2A	EGR1
CDKN2A	MYC
NONO	SMARCA4
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
CDKN2A	HIF1A
CDKN2A	BRCA1
BRCA1	ARNT
NONO	HDAC1
BRCA1	ELK4
SMARCA4	SRF
CDKN2A	TOP1
CDKN2A	TP53
CA4	PIH1D1
PIH1D1	KMT2A
KMT2A	CREBBP
CREBBP	JUN
PIH1D1	POLR2L
POLR2L	REL
REL	NFKB1
POLR2L	ESR1
ESR1	SP1
CREBBP	EGR1
CA4	PRDX2
PRDX2	APP
APP	MYC
PIH1D1	POLR2A
POLR2A	EP300
ESR1	HIF1A
PIH1D1	PPP1CA
PPP1CA	BRCA1
KMT2A	HCFC1
HCFC1	POU2F1
CREBBP	SRF
ESR1	TOP1
PPP1CA	TP53
CREBBP	VEGFA
EP300	VEGFA
HIF1A	VEGFA
ARNT	VEGFA
ELK4	FOS
SRF	FOS
TP53	PPM1D
NFKB1	VEGFA
JUN	VEGFA
MYC	VEGFA
ELK3	FOS
MYC	NME1
TP53	NME1
EGR1	TFPI2
JUN	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
