CA1	TFCP2
TFCP2	HDAC2
HDAC2	SP1
HDAC2	ESR1
TFCP2	SUMO1
SUMO1	PML
PML	RXRA
HDAC2	RARA
RARA	RXRB
SUMO1	NR1H4
NR1H4	RXRG
SUMO1	TP53
PML	ATF2
HDAC2	HSF1
HDAC2	PPARD
HDAC2	HSPA4
HSPA4	ERG
HDAC2	CREBBP
TFCP2	HDAC1
HDAC1	EP300
HDAC2	HIF1A
PML	JUN
PML	ARNT
HDAC1	CREB1
HDAC1	NFKB1
TFCP2	CASP8
CASP8	CEBPB
PML	FOS
TFCP2	CDC73
CDC73	HSP90AA1
HSP90AA1	NFIC
HDAC1	PPARG
HDAC1	POU2F1
SUMO1	TP73
TP73	PAX6
SUMO1	DAXX
DAXX	ETS1
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
CASP8	MAPK1
PML	MAPK3
SUMO1	TP63
TP63	ETV4
TP53	TFAP2A
HDAC2	RB1
RB1	PAX2
TP53	EGR1
BAG6	CD93
CD93	MYD88
SUMO1	PIAS4
PIAS4	IRF7
SUMO1	PARK2
PARK2	REL
HDAC2	RELA
TFCP2	APBB1
APBB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
CREBBP	ATF1
HDAC1	STAT1
DAXX	SMAD4
PIAS4	LEF1
SUMO1	HGS
HGS	DAZAP2
DAZAP2	TCF7
PML	TCF7L2
CDC73	CTNNB1
CTNNB1	TCF7L1
CDC73	NPL3
NPL3	PDX1
HDAC1	SPI1
HDAC1	NR3C1
NR3C1	POU2F2
PML	YAP1
HDAC1	MAPK8
HDAC1	MAPK9
HDAC1	MAPK10
HDAC2	SMARCA4
SMARCA4	NEUROD1
HDAC1	NKX2-2
HDAC1	STAT3
HDAC1	DDIT3
DDIT3	CREB3
TFCP2	RNF2
RNF2	ELAVL1
ELAVL1	CREB3L2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
REL	NEUROG3
TP53	NFYA
TP53	NFYB
HDAC1	TBP
TBP	NFYC
APBB1	APP
APP	RFX5
TFCP2	EAF1
EAF1	MLLT1
MLLT1	RFXAP
HDAC2	CIITA
CIITA	RFXANK
TP53	MAPK14
PML	MAPK11
BAG6	VCP
VCP	MAPK13
HDAC1	IRF5
SUMO1	PIAS2
PIAS2	ESR2
PIAS2	STAT4
ESR1	SP2
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	SP1
CA2	NONO
NONO	SMARCA4
SMARCA4	ESR1
NONO	TRIM24
TRIM24	RXRA
SMARCA4	NR3C1
NR3C1	RXRB
TRIM24	RARA
RARA	RXRG
CDKN2A	TP53
SLC4A1	CLU
CLU	MAPK9
MAPK9	ATF2
SMARCA4	HSF1
NONO	HDAC2
CA2	HSPD1
HSPD1	HSPA8
HSPA8	ERG
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
CDKN2A	HIF1A
NONO	HDAC3
HDAC3	JUN
CDKN2A	BRCA1
BRCA1	ARNT
NONO	PPP1CA
PPP1CA	CREB1
HDAC3	NFKB1
SMARCA4	CEBPB
NONO	SPI1
SPI1	FOS
CDKN2A	HSP90AA1
NONO	SFPQ
SFPQ	PPARG
NONO	HDAC1
SMARCA4	PAX6
SPI1	ETS1
CDKN2A	C1QBP
C1QBP	CEBPA
SFPQ	MAPK1
BRCA1	MAPK3
CDKN2A	TP63
BRCA1	TFAP2A
BRCA1	PAX2
CDKN2A	EGR1
CDKN2A	MDM2
MDM2	MYD88
HSPD1	ALK
ALK	IRF7
HSPD1	HSPA4
HSPA4	REL
HDAC3	RELA
SMARCA4	STAT5A
CDKN2A	NMI
NMI	STAT5B
SPI1	ATF1
SMARCA4	STAT1
CA2	SLC9A1
SLC9A1	DAXX
SMARCA4	CTNNB1
CTNNB1	LEF1
NONO	ORC5
ORC5	TAX1BP1
TAX1BP1	DAZAP2
DAXX	TCF7L2
HSPD1	GID8
GID8	PDX1
CLU	XRCC6
XRCC6	POU2F2
PPP1CA	YAP1
CDKN2A	MAPK8
CDKN2A	MAPK10
SMARCA4	STAT3
HDAC3	CREB3
NONO	PTBP1
PTBP1	ELAVL1
HDAC3	RUNX1T1
BRCA1	NFYA
HSPD1	GAPDH
GAPDH	NFYC
HSPD1	APP
CDKN2A	NCL
NCL	RFXAP
SMARCA4	CIITA
HDAC3	MAPK14
HDAC3	MAPK11
SLC4A1	CANX
CANX	VCP
CDKN2A	KAT5
KAT5	ESR2
CDKN2A	PIAS2
CDKN2A	E2F1
E2F1	SP2
CA4	PIH1D1
PIH1D1	POLR2L
POLR2L	ESR1
ESR1	SP1
POLR2L	SRC
SRC	RXRA
PIH1D1	RUVBL1
RUVBL1	RARA
PIH1D1	RPAP2
RPAP2	RXRG
PIH1D1	PPP1CA
PPP1CA	TP53
PIH1D1	RUVBL2
RUVBL2	ATF2
PIH1D1	KMT2A
KMT2A	HDAC1
HDAC1	HSF1
HDAC1	PPARD
PPP1CA	HSPA8
KMT2A	CREBBP
PIH1D1	POLR2A
POLR2A	EP300
ESR1	HIF1A
CREBBP	JUN
PPP1CA	BRCA1
POLR2L	REL
REL	NFKB1
ESR1	CEBPB
PIH1D1	POLR2E
POLR2E	FOS
RUVBL1	ELAVL1
ELAVL1	NFIC
CREBBP	PPARG
KMT2A	HCFC1
HCFC1	POU2F1
PIH1D1	UXT
UXT	AR
AR	PAX6
CREBBP	ETS1
PPP1CA	CDK4
CDK4	CEBPA
ESR1	MAPK1
CA4	PRDX2
PRDX2	YWHAZ
YWHAZ	RFWD2
RFWD2	ETV4
CREBBP	EGR1
POLR2E	IKBKG
IKBKG	MYD88
TP53	IRF7
POLR2A	RELA
ESR1	STAT5A
PIH1D1	POLR2D
POLR2D	ELP2
ELP2	STAT5B
PIH1D1	TTI1
TTI1	ATF1
PIH1D1	TYK2
TYK2	STAT1
KMT2A	SKP2
SKP2	SMAD4
RUVBL1	LEF1
PPP1CA	ZFYVE9
ZFYVE9	DAZAP2
KMT2A	MEN1
MEN1	TCF7L2
RUVBL2	CTNNB1
PPP1CA	PCIF1
PCIF1	PDX1
RUVBL2	TBP
TBP	POU2F2
PRDX2	APP
APP	MAPK8
EP300	NEUROD1
ESR1	STAT3
HCFC1	CREB3
PIH1D1	PPP1CC
PPP1CC	FXYD6
FXYD6	CREB3L1
CREBBP	NFYB
PPP1CA	CDK2
CDK2	NFYC
KMT2A	NCL
PPP1CC	RAF1
RAF1	RFXANK
PPP1CA	RB1
RB1	MAPK14
YWHAZ	BAG3
BAG3	MAPK11
PPP1CC	VCP
CREBBP	IRF5
ESR1	ESR2
PPP1CA	TRIM28
TRIM28	STAT4
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
MAPK1	PDYN
MAPK3	PDYN
CREB3	PDYN
CREB1	PDYN
ATF2	PDYN
CREB3L2	PDYN
CREB3L1	PDYN
NFKB1	IL6
RELA	IL6
CREBBP	EDN1
CREBBP	FLT1
CREBBP	ANGPT2
CREBBP	TF
EP300	EDN1
EP300	FLT1
EP300	ANGPT2
EP300	TF
HIF1A	EDN1
HIF1A	FLT1
HIF1A	ANGPT2
HIF1A	TF
ARNT	EDN1
ARNT	FLT1
ARNT	ANGPT2
ARNT	TF
YAP1	AFP
YAP1	SOX2
LEF1	SOX2
TCF7	SOX2
TCF7L2	SOX2
TCF7L1	SOX2
HSF1	HSPA8
MYD88	IL6
MYD88	IL12B
NEUROD1	INS
NKX2-2	INS
NEUROG3	NKX2-2
PAX6	INS
CREB3	MITF
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
CREB3L2	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
CREB3L1	MITF
TP53	RPRM
TP53	TP73
PPARD	FABP3
PPARD	UBC
PPARG	GK2
PPARG	SCD5
RXRA	FABP3
RXRA	GK2
RXRA	UBC
RXRA	SCD5
RXRB	FABP3
RXRB	GK2
RXRB	UBC
RXRB	SCD5
RXRG	FABP3
RXRG	GK2
RXRG	UBC
RXRG	SCD5
FOS	IL6
FOS	IL12B
IRF5	IL6
IRF5	IL12B
IRF7	IFNA2
IRF7	IFNA8
IRF7	IFNA14
IRF7	IFNA16
JUN	IL6
JUN	IL12B
NFKB1	IL12B
RELA	IL12B
SPI1	FCGR1A
CREB1	HLA-DPB1
CREB1	HLA-DRB1
MAPK14	IL6
MAPK14	IL12B
MYD88	IFNA2
MYD88	IFNA8
MYD88	IFNA14
MYD88	IFNA16
NFYA	HLA-DPB1
NFYA	HLA-DRB1
NFYB	HLA-DPB1
NFYB	HLA-DRB1
NFYC	HLA-DPB1
NFYC	HLA-DRB1
MAPK1	IL6
MAPK1	IL12B
MAPK3	IL6
MAPK3	IL12B
MAPK8	IL6
MAPK8	IL12B
MAPK11	IL6
MAPK11	IL12B
MAPK9	IL6
MAPK9	IL12B
MAPK10	IL6
MAPK10	IL12B
MAPK13	IL6
MAPK13	IL12B
RFX5	HLA-DPB1
RFX5	HLA-DRB1
RFXAP	HLA-DPB1
RFXAP	HLA-DRB1
RFXANK	HLA-DPB1
RFXANK	HLA-DRB1
PDX1	INS
