KCNJ1	SLC9A3R1
SLC9A3R1	YAP1
YAP1	CREB1
SLC9A3R1	YWHAZ
YWHAZ	COPS5
COPS5	CREB3
YWHAZ	CTNNB1
CTNNB1	ELAVL1
ELAVL1	CREB3L2
SLC9A3R1	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
YWHAZ	HDAC4
HDAC4	ATF2
YWHAZ	TP53
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	JUN
YAP1	PTCH1
PTCH1	ATF6B
YAP1	EP300
EP300	ATF4
SLC9A3R1	PDGFRB
PDGFRB	TRIP6
TRIP6	CREB5
PTGS1	CAV1
CAV1	PPP1CA
PPP1CA	CREB1
CAV1	MALL
MALL	CREB3
CAV1	CTNNB1
CAV1	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
CAV1	MAPK1
MAPK1	ATF2
PTGS1	PTGS2
PTGS2	TP53
CAV1	CSK
CSK	JUN
CAV1	PTCH1
PTGS2	EP300
CAV1	TRAF2
TRAF2	CREB5
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	NPY
CREB3L2	NPY
CREB3L1	NPY
CREB5	NPY
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
TP53	PCNA
