HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	SMAD3
SMAD3	ATF2
CBL	ABL1
ABL1	CREB1
CBL	CTNNB1
CTNNB1	COPS5
COPS5	CREB3
CBL	GRB2
GRB2	RBM33
RBM33	ATF6B
GRB2	EP300
EP300	ATF4
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	KRT15
KRT15	CREB5
SMAD3	E2F4
CTNNB1	BRCA1
SMAD3	YAP1
CTNNB1	HIF1A
CTNNB1	CREBBP
EP300	ARNT
ADRA2A	UCHL1
UCHL1	TP53
ADRA2A	GNAO1
GNAO1	RGS20
RGS20	RUVBL2
RUVBL2	ATF2
TP53	CREB1
UCHL1	COPS5
UCHL1	CDK6
CDK6	ATF6B
GNAO1	GABBR1
GABBR1	ATF4
UCHL1	CTNNB1
ADRA2A	GNAI2
GNAI2	MDFI
MDFI	PRKAB2
PRKAB2	CREB3L1
RGS20	CREB5
GNAI2	GNAI3
GNAI3	XPO1
XPO1	E2F4
GNAI2	NPM1
NPM1	BRCA1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
CTNNB1	EP300
UCHL1	HSP90AA1
HSP90AA1	ARNT
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
DLG4	MDM2
MDM2	PML
PML	ATF2
HTR2C	CALM1
CALM1	AKT1
AKT1	CREB1
CALM1	STX8
STX8	CREB3
CALM1	ESR1
ESR1	XBP1
XBP1	ATF6B
DLG4	DLG1
DLG1	BTRC
BTRC	ATF4
DLG4	PRKCA
PRKCA	ELAVL1
MDM2	PGRMC1
PGRMC1	CREB3L1
MDM2	TRIM23
TRIM23	CREB5
CALM1	AR
AR	E2F4
CALM1	ITPR1
ITPR1	BRCA1
ERBB4	YAP1
MDM2	HIF1A
ESR1	CREBBP
MDM2	EP300
CALM1	HSP90AA1
OPRK1	SIAH1
SIAH1	TXN
TXN	TP53
OPRK1	SIAH2
SIAH2	PML
SIAH2	KAT5
KAT5	CREB1
SIAH2	HDAC3
HDAC3	CREB3
SIAH1	UBE2I
UBE2I	XBP1
