ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	ATF2
ARRB2	AKT1
AKT1	CREB1
ARRB2	IGF1R
IGF1R	TP53
ARRB2	MAP2K4
MAP2K4	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
RPA1	PGRMC1
PGRMC1	CREB3L1
ARRB2	HNRNPA1
HNRNPA1	KRT15
KRT15	CREB5
RPA1	MOV10
MOV10	ATF6B
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	XRCC5
XRCC5	BRCA1
MAPK1	CEBPB
ARRB2	FLNA
FLNA	REL
ARRB2	CAPN1
CAPN1	STAT3
ADRB2	MAPK14
MAPK14	ATF2
MAPK14	CREB1
ADRB2	TSG101
TSG101	TP53
ADRB2	SHMT2
SHMT2	CREB3
ADRB2	REL
REL	CEP19
CEP19	CREB3L2
ADRB2	PGRMC1
ADRB2	RGS20
RGS20	CREB5
ADRB2	GRB2
GRB2	RBM33
RBM33	ATF6B
SHMT2	ATF4
ADRB2	STAT3
STAT3	PML
PML	E2F4
ADRB2	UBC
UBC	BRCA1
ADRB2	HNRNPK
HNRNPK	CEBPB
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
