ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	SP1
RAPGEF4	TRAF2
TRAF2	JUN
RAP1A	FAF1
FAF1	HIF1A
HDAC1	CREBBP
HDAC1	EP300
TRAF2	PIAS2
PIAS2	ARNT
RAP1A	CDC42
CDC42	TP53
RAP1A	BIN1
BIN1	MYC
RAP1A	HSPA4
HSPA4	NFKB1
RAP1A	FAS
FAS	RB1
RB1	PAX2
HDAC1	POU2F1
TP53	EGR1
TRAF2	SMURF1
SMURF1	NFIC
HDAC1	CREB1
PPARG	SP1
PPARG	JUN
PPARG	EP300
EP300	HIF1A
PPARG	CREBBP
EP300	ARNT
PPARG	TFAP2A
TFAP2A	TP53
PPARG	APP
APP	MYC
EP300	NFKB1
PPARG	RB1
PPARG	XRCC6
XRCC6	POU2F1
EP300	EGR1
EP300	Cebpb
Cebpb	NFIC
EP300	CREB1
CREBBP	EDN1
EP300	EDN1
HIF1A	EDN1
ARNT	EDN1
NFKB1	TRAF1
SP1	AGT
JUN	GJA1
SP1	GJA1
SP1	GYPC
SP1	KRT18
NFKB1	LTA
MYC	NME1
TP53	NME1
POU2F1	PRL
CREB1	REN
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
MYC	TP53
EGR1	TP53
HIF1A	TP53
JUN	TP53
NFIC	TP53
NFKB1	TP53
PAX2	TP53
TP53	TP53
JUN	TXN
