ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	E2F1
E2F1	SP4
RAP1A	CDC42
CDC42	TP53
RAP1A	HSPA4
HSPA4	NFKB1
RAP1A	NTRK1
NTRK1	RELA
HDAC1	CREB1
RAP1A	BIN1
BIN1	MYC
RAPGEF4	TRAF2
TRAF2	JUN
JUN	ETS1
TRAF2	USF1
USF1	MAX
TRAF2	UBE2D1
UBE2D1	FOS
HDAC1	POU2F1
HDAC1	SP1
CDC42	RUVBL1
RUVBL1	LEF1
UBE2D1	YAP1
NTRK1	INSR
INSR	TEAD1
NTRK1	GOLGA2
GOLGA2	TEAD4
NTRK1	PHB2
PHB2	TEAD3
TRAF2	UBC
UBC	DAZAP2
DAZAP2	TCF7
TRAF2	USP4
USP4	TCF7L2
NTRK1	CTNNB1
CTNNB1	TCF7L1
HDAC1	SP3
TP53	EGR1
TRAF2	BIRC2
BIRC2	NFKB2
NTRK1	STAT1
PPARG	EP300
EP300	E2F1
PPARG	TFAP2A
TFAP2A	TP53
EP300	NFKB1
PPARG	RELA
EP300	CREB1
PPARG	APP
APP	MYC
PPARG	JUN
EP300	ETS1
EP300	MAX
EP300	FOS
PPARG	XRCC6
XRCC6	POU2F1
PPARG	SP1
PPARG	CTNNB1
CTNNB1	LEF1
PPARG	SMAD3
SMAD3	YAP1
PPARG	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
PPARG	PHB2
PPARG	UBC
CTNNB1	TCF7L2
EP300	SP3
EP300	EGR1
RELA	NFKB2
EP300	STAT1
FOS	CCND1
JUN	CCND1
MYC	CCND1
LEF1	CCND1
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	CCND1
YAP1	CCND1
TEAD1	CCND1
TEAD4	CCND1
TEAD3	CCND1
STAT1	CCND1
TP53	SERPINB5
ETS1	MMP1
ETS1	CCND1
FOS	MMP1
JUN	MMP1
MYC	MMP1
NFKB1	CCND1
NFKB2	CCND1
RELA	CCND1
MAX	CDK6
MAX	CCND1
MYC	CDK6
NFKB1	CEBPB
RELA	CEBPB
CREB1	CCND1
POU2F1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
