HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	ATF4
ITCH	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ITCH	PTCH1
PTCH1	ATF6B
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	XRCC5
XRCC5	BRCA1
MAPK1	SP1
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	CDK3
CDK3	PPARA
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	SFPQ
SFPQ	SP3
ARRB2	NPM1
NPM1	TFAP2A
TRIM28	MYB
ARRB2	CSK
CSK	CREBBP
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
NEDD4	PPARG
ARRB2	YWHAQ
YWHAQ	E2F1
ADRB2	SHMT2
SHMT2	E2F2
TRIM28	E2F3
TP53	ETS2
ARRB2	PTGES3
PTGES3	NR3C2
AKT1	RARA
ARRB2	STAT1
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	MAP2K4
MAP2K4	MAPK8
MAPK8	PAX2
C1QBP	CEBPA
ADRB2	STAT3
ARRB2	POLR2E
POLR2E	FOS
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
ARRDC3	WWP1
WWP1	SMAD4
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
NR3C2	ATP1B1
TP53	GADD45G
TP53	GADD45B
ESR1	CALB1
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREB5	PCNA
CREBBP	CDKN1B
CREBBP	EDN1
CREBBP	EGF
CREBBP	PDK1
EP300	CDKN1B
EP300	EDN1
EP300	EGF
EP300	PDK1
HIF1A	CDKN1B
HIF1A	EDN1
HIF1A	EGF
HIF1A	PDK1
ARNT	CDKN1B
ARNT	EDN1
ARNT	EGF
ARNT	PDK1
SMAD4	ID2
STAT1	PIM1
STAT2	PIM1
STAT4	PIM1
STAT6	PIM1
NFKB1	GADD45B
NFKB1	NFKBIA
NFKB1	VCAM1
RELA	GADD45B
RELA	NFKBIA
RELA	VCAM1
TP53	IGFBP3
FOS	MMP2
JUN	MMP2
MYC	MMP2
PPARA	PLTP
PPARA	SCP2
RXRA	PLTP
RXRA	SCP2
RXRB	PLTP
RXRB	SCP2
RXRG	PLTP
RXRG	SCP2
CREB1	HLA-DMA
MYB	CDK1
SP1	CDK1
TP53	MKI67
SP1	ALDH3A1
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
E2F4	CDK1
ETS2	CDK1
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
ESR1	GADD45B
PPARA	GADD45B
PPARG	GADD45B
RARA	GADD45B
CEBPA	ICAM1
CREB1	ICAM1
JUN	ICAM1
NFKB1	ICAM1
RELA	ICAM1
MYC	ID2
FLI1	ID2
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
NFKB1	LTA
JUN	MAT2A
MYB	MAT2A
NFKB1	MAT2A
SP1	MAT2A
JUN	MGP
CEBPA	MMP2
FLI1	MMP2
SP1	MMP2
TFAP2A	MMP2
TP53	MMP2
PPARA	NFKBIA
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
E2F4	TK1
CEBPA	TK1
FLI1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD4	TNNC1
SP3	TNNC1
MYC	TP53
FOS	TP53
HIF1A	TP53
JUN	TP53
NFKB1	TP53
PAX2	TP53
STAT1	TP53
TP53	TP53
SP1	TPI1
TP53	TYMS
USF2	TYMS
