HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	XRCC6
XRCC6	PGR
ARRDC3	ADRB2
ADRB2	STAT3
XRCC6	POU2F1
ARRDC3	ITCH
ITCH	TP53
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	UBC
UBC	ATF6
ITCH	JUN
ARRB2	MAPK1
MAPK1	CEBPB
ARRB2	HNRNPD
HNRNPD	MYC
ARRDC3	HGS
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
ARRB2	SFPQ
SFPQ	SP3
ARRB2	TRIM28
TRIM28	E2F4
MAPK1	STAT5A
HGS	INSR
INSR	STAT5B
ARRB2	STAT1
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
MAPK1	SP1
ARRB2	ALYREF
ALYREF	LEF1
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	YWHAQ
YWHAQ	YAP1
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
ARRB2	POLR2E
POLR2E	FOS
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	AKT1
AKT1	CREB1
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
TP53	ETS1
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	MAPK3
ADRB2	REL
MAPK1	ELK1
HSP90AA1	NFIC
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NFKB1	BIRC3
RELA	BIRC3
JUN	NFKB1
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
ELK1	BIRC3
ELK1	CCND3
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREBBP	ANGPT1
CREBBP	LTBR
EP300	ANGPT1
EP300	LTBR
HIF1A	ANGPT1
HIF1A	LTBR
ARNT	ANGPT1
ARNT	LTBR
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	SPRY2
SOS1	MYC
SOS1	CCND3
SOS2	SPRY2
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
MAPK1	CDK4
MAPK3	CDK4
NFKB1	VCAM1
RELA	VCAM1
TP53	FAS
TP53	TNFRSF10B
TP53	CCNG1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
NFKB1	IL18
MAPK1	IL18
MAPK3	IL18
RELA	IL18
CREB1	CD55
POU2F1	AKR1C2
POU2F1	AKR1C3
POU2F1	ALDOC
CREB1	ARG1
NFIC	ARG1
HIF1A	BNIP3
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
MYC	EIF4E
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
NFIC	HRAS
SP1	HRAS
NFKB1	KLK3
PGR	KLK3
SP3	KLK3
TP53	KLK3
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
CEBPB	NFKB1
ETS1	NFKB1
E2F4	PCNA
TP53	PCNA
SP1	TAF7
TFAP2A	TAF7
E2F4	TOP1
CEBPB	TOP1
POU2F1	TXNRD1
ATF6	XBP1
