PDE4B	MAGEA11
MAGEA11	EP300
EP300	TP53
EP300	CREB1
EP300	HDAC3
HDAC3	CREB3
EP300	ATF2
MAGEA11	TRIM27
TRIM27	NFYC
NFYC	ATF6B
EP300	ATF4
MAGEA11	NOS3
NOS3	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
EP300	BRCA1
BRCA1	CREB5
MAGEA11	RB1
RB1	E2F4
MAGEA11	MTA1
MTA1	CEBPA
ADORA1	GNAI2
GNAI2	ITCH
ITCH	TP53
TP53	CREB1
ITCH	JUN
JUN	CREB3
GNAI2	TRIP6
TRIP6	CREB5
CREB5	ATF2
ITCH	PTCH1
PTCH1	ATF6B
GNAI2	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
GNAI2	GNAI3
GNAI3	XPO1
XPO1	ELAVL1
GNAI2	MDFI
MDFI	PRKAB2
PRKAB2	CREB3L1
XPO1	E2F4
GNAI2	NPM1
NPM1	BRCA1
ITCH	SMAD3
SMAD3	CEBPA
PDE4A	SQSTM1
SQSTM1	YWHAZ
YWHAZ	TP53
SQSTM1	MAPK14
MAPK14	CREB1
YWHAZ	COPS5
COPS5	CREB3
SQSTM1	MAPK1
MAPK1	ATF2
SQSTM1	NTRK1
NTRK1	CDK6
CDK6	ATF6B
SQSTM1	NFE2L2
NFE2L2	ATF4
SQSTM1	SNCA
SNCA	Dynll1
Dynll1	CREB3L2
PDE4A	PRKAR2A
PRKAR2A	RUNX1T1
RUNX1T1	CREB3L1
SQSTM1	BCL2
BCL2	BRCA1
YWHAZ	ENO1
ENO1	E2F4
YWHAZ	NFATC4
NFATC4	CEBPA
ADORA2A	DRD2
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	EPB41L1
EPB41L1	COPS5
FLNA	LMNA
LMNA	PML
PML	ATF2
FLNA	ILF2
ILF2	MOV10
MOV10	ATF6B
DRD2	PAWR
PAWR	SHMT2
SHMT2	ATF4
FLNA	REL
REL	CEP19
CEP19	CREB3L2
COPS5	PGRMC1
PGRMC1	CREB3L1
EPB41L1	ITPR1
ITPR1	BRCA1
DRD2	CALM1
CALM1	AR
AR	E2F4
LMNA	KAT5
KAT5	CEBPA
NT5E	MTOR
MTOR	TP53
NT5E	ATR
ATR	CREB1
NT5E	GLMN
GLMN	CUL1
CUL1	COPS5
MTOR	RUVBL2
RUVBL2	ATF2
NT5E	TNPO2
TNPO2	NXF1
NXF1	ATF6B
MTOR	NFKBIA
NFKBIA	ATF4
CUL1	ELAVL1
MTOR	FKBP8
FKBP8	PGRMC1
ATR	BRCA1
NXF1	E2F4
NT5E	RPTOR
RPTOR	MAPK8
MAPK8	CEBPA
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CEBPA	FN1
CREB1	FN1
CEBPA	GPX4
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
TP53	PRKAB1
