GABRA1	PRKCD
PRKCD	STAT3
STAT3	PML
PML	E2F4
PRKCD	EP300
EP300	E2F1
PRKCD	ELAVL1
ELAVL1	E2F2
ELAVL1	E2F3
PRKCD	HSP90AA1
HSP90AA1	PPARA
PRKCD	SP1
PRKCD	TP53
GABRA3	SDCBP2
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
CEBPA	E2F4
SDCBP2	ZNF581
ZNF581	KDM1A
KDM1A	E2F1
BEND7	TRIM27
TRIM27	RB1
RB1	E2F2
RB1	E2F3
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	PPARA
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
GABRA4	APP
APP	EEF1D
EEF1D	HCFC1
HCFC1	E2F4
APP	KAT5
KAT5	E2F1
APP	PSEN2
PSEN2	ELAVL1
APP	AKAP13
AKAP13	PPARA
APP	MAPK8
MAPK8	SP1
MAPK8	TP53
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	ENO1
ENO1	E2F4
YWHAZ	YWHAQ
YWHAQ	E2F1
YWHAZ	BCAR1
BCAR1	E2F2
YWHAH	ABL1
ABL1	RB1
YWHAH	SNRPE
SNRPE	HSP90AA1
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAZ	TP53
CHRNA7	FYN
FYN	ENO1
FYN	CDH1
CDH1	E2F1
FYN	CTNNB1
CTNNB1	ELAVL1
FYN	BCL3
BCL3	HDAC1
HDAC1	E2F3
FYN	HSP90AA1
FYN	NR3C1
NR3C1	TP53
GRIA2	GRIP1
GRIP1	HDAC1
HDAC1	E2F4
HDAC1	E2F1
GRIA2	SDCBP
SDCBP	SIAH1
SIAH1	TFDP1
TFDP1	E2F2
SIAH1	UBE2I
GRIP1	CTNNB1
SDCBP	TRIM32
TRIM32	TP53
GRIK2	GRIP1
GRIK2	DLG1
DLG1	BTRC
BTRC	E2F1
GRIK2	SDCBP
BTRC	SP1
GABRB1	NOD1
NOD1	UBC
UBC	BRCA1
BRCA1	E2F4
UBC	E2F1
NOD1	CASP9
CASP9	RB1
NOD1	RNF34
RNF34	FZR1
FZR1	E2F3
NOD1	HSP90AA1
HSP90AA1	SP1
RNF34	TP53
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	SMAD3
SMAD3	E2F4
GSK3B	AR
AR	E2F1
TRAK2	PRKAG1
PRKAG1	FAS
FAS	RB1
TRAK2	OGT
OGT	HCFC1
HCFC1	E2F3
GSK3B	RELA
RELA	PPARA
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
GSK3B	TP53
GABRB3	PRKACA
PRKACA	HDAC1
GABRB3	MEOX2
MEOX2	KAT5
GABRB3	PRKCA
PRKCA	ELAVL1
MEOX2	RELA
RELA	SP1
RELA	TP53
GABRD	UBQLN1
UBQLN1	UBE3A
UBE3A	PML
UBQLN1	UBC
UBQLN1	PSEN2
UBQLN1	APP
UBQLN1	RAD23A
RAD23A	TP53
GABRE	CUX1
CUX1	TLE4
TLE4	HDAC1
CUX1	CCNA1
CCNA1	E2F1
CCNA1	RB1
CUX1	SATB1
SATB1	UBE2I
CCNA1	SP1
CUX1	EHMT2
EHMT2	TP53
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
NEDD4	CUL1
CUL1	E2F1
GABARAP	ATG7
ATG7	SHMT2
SHMT2	E2F2
GABARAP	TAX1BP1
TAX1BP1	EMILIN1
EMILIN1	FZR1
ATG7	SIRT1
SIRT1	PPARA
SMAD3	SP1
GABARAP	DVL2
DVL2	TP53
TP53	BAX
PPARA	APOB
SP1	CD99
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
PPARA	CYP1A1
SP1	CYP1A1
