GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	TP53
GSK3B	CREB1
GSK3B	PTPN11
PTPN11	SOS1
TRAK2	PRKAA1
PRKAA1	ABI2
ABI2	SOS2
TRAK2	PRKAB2
PRKAB2	REL
REL	CREBBP
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
PIAS2	ARNT
GNB2L1	STAT1
GSK3B	CTNNB1
CTNNB1	PPARG
GSK3B	RXRA
TRAK2	KLC1
KLC1	APP
APP	AKAP13
AKAP13	RXRB
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	BCL3
BCL3	STAT3
GSK3B	NFKB1
GSK3B	RELA
PRKAB2	CRX
CRX	SP1
RELA	USF2
GSK3B	MYC
MYC	ZBTB17
PRKAB2	CSNK2B
CSNK2B	STAT5A
PTPN11	STAT5B
CRX	SP3
TP53	TFAP2A
GSK3B	HSP90AA1
HSP90AA1	STAT2
PIAS2	STAT4
GSK3B	EEF1A1
EEF1A1	STAT6
GSK3B	MAPK1
GSK3B	SNCA
SNCA	MAPK3
CSNK2B	MAPK14
KLC1	KRT31
KRT31	PKN1
PKN1	MAPK11
PRKAA1	VCP
VCP	MAPK13
APP	MAPK8
PRKAB2	PRKDC
PRKDC	MAPK9
TP53	MAPK10
GABRB3	MEOX2
MEOX2	RELA
RELA	TP53
GABRB3	PRKACA
PRKACA	CREB1
MEOX2	NCK2
NCK2	SOS1
PRKACA	EGFR
EGFR	SOS2
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	HIF1A
PRKACA	HSP90AA1
HSP90AA1	ARNT
MEOX2	CIAPIN1
CIAPIN1	STAT1
PRKCA	PPARG
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
RELA	STAT3
RELA	NFKB1
RELA	SP1
HSP90AA1	ZBTB17
MEOX2	PRKAB2
MEOX2	POM121C
POM121C	STAT5A
EGFR	STAT5B
RELA	SP3
EP300	TFAP2A
EGFR	STAT2
RELA	JUN
JUN	STAT4
MEOX2	AHCYL1
AHCYL1	STAT6
MEOX2	TP53BP1
TP53BP1	MAPK1
TP53BP1	MAPK3
RELA	MAPK14
RELA	HDAC3
HDAC3	MAPK11
RELA	SMAD4
SMAD4	MAPK13
EGFR	MAPK8
EGFR	MAPK9
PRKACA	HDAC1
HDAC1	MAPK10
SCN4A	SLC9A3R1
SLC9A3R1	YWHAZ
YWHAZ	TP53
SLC9A3R1	YAP1
YAP1	CREB1
SCN4A	CALM1
CALM1	CBL
CBL	SOS1
CALM1	ESR1
ESR1	SOS2
ESR1	CREBBP
YAP1	EP300
SLC9A3R1	CAPN1
CAPN1	HIF1A
CALM1	HSP90AA1
SLC9A3R1	PIK3CA
PIK3CA	STAT1
YWHAZ	CTNNB1
SLC9A3R1	YWHAQ
YWHAQ	NRIP1
NRIP1	RXRA
ESR1	NR2C2
NR2C2	RXRB
YWHAZ	AJUBA
AJUBA	RXRG
CAPN1	STAT3
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
ESR1	SP1
EP300	USF2
CALM1	AKT1
AKT1	PIAS2
ESR1	STAT5A
YAP1	EGFR
ESR1	SP3
SLC9A3R1	ADRB2
ADRB2	STAT4
CALM1	RAD23B
RAD23B	STAT6
ESR1	MAPK1
CALM1	SNCA
ADRB2	MAPK14
YWHAZ	BAG3
BAG3	MAPK11
SLC9A3R1	CFTR
CFTR	VCP
SLC9A3R1	EZR
EZR	MAPK8
CTNNB1	MAPK9
SCN2A	ANK3
ANK3	TIAM1
TIAM1	BTRC
BTRC	TP53
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
BTRC	HRAS
HRAS	SOS1
CAMK2A	PLCG1
PLCG1	SOS2
TIAM1	RAC1
RAC1	HIST1H3A
HIST1H3A	CREBBP
BTRC	EP300
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	HIF1A
EP300	ARNT
RAC1	STAT3
STAT3	STAT1
RAC1	SFPQ
SFPQ	PPARG
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	RXRA
SFPQ	NR3C1
NR3C1	RXRB
BTRC	NCOR2
NCOR2	RXRG
BTRC	NFKB1
BTRC	RELA
BTRC	SP1
CSNK1E	MYCN
MYCN	ZBTB17
CDKN2A	PIAS2
RAC1	RBMX
RBMX	STAT5A
BTRC	GHR
GHR	STAT5B
SFPQ	SP3
EP300	STAT2
TIAM1	MAPK8IP1
MAPK8IP1	JUN
STAT3	STAT6
STAT3	MAPK1
RAC1	IQGAP1
IQGAP1	MAPK3
BTRC	MAPK14
STAT3	PML
PML	MAPK11
TIAM1	MAPK8IP2
MAPK8IP2	MAPK13
MAPK8IP1	MAPK8
MAPK8IP1	MAPK9
MAPK8IP2	MAPK10
GABRA1	PRKCD
PRKCD	TP53
PRKCD	EP300
EP300	CREB1
PRKCD	TNFRSF1A
TNFRSF1A	SOS1
PRKCD	STAT3
STAT3	EGFR
EP300	CREBBP
STAT3	HIF1A
PRKCD	STAT1
EP300	PPARG
EP300	RXRA
PRKCD	APP
PPARG	RXRG
STAT3	NFKB1
STAT3	RELA
PRKCD	SP1
EP300	ZBTB17
TP53	PIAS2
EP300	STAT5A
PRKCD	INSR
INSR	STAT5B
EP300	SP3
STAT3	TRIM28
TRIM28	STAT4
PRKCD	SNCA
EP300	MAPK14
PRKCD	VCP
STAT3	MAPK8
TP53	MAPK9
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREB1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	NTRK1
NTRK1	SOS1
NTRK1	SOS2
TP53	CREBBP
TP53	EP300
TRAF6	HIF1A
HIF1A	ARNT
TIFA	IRAK1
