ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	NTRK1
NTRK1	RELA
NTRK1	STAT3
RAPGEF4	TRAF2
TRAF2	UBE2D1
UBE2D1	YAP1
RAP1A	CDC42
CDC42	RUVBL1
RUVBL1	LEF1
TRAF2	UBC
UBC	DAZAP2
DAZAP2	TCF7
TRAF2	USP4
USP4	TCF7L2
NTRK1	CTNNB1
CTNNB1	TCF7L1
NTRK1	INSR
INSR	TEAD1
NTRK1	GOLGA2
GOLGA2	TEAD4
NTRK1	PHB2
PHB2	TEAD3
TRAF2	JUN
TRAF2	EGFR
EGFR	STAT5A
NTRK1	STAT5B
NTRK1	STAT1
RAPGEF4	BZRAP1
BZRAP1	REL
PPARG	RELA
PPARG	EP300
EP300	STAT3
PPARG	SMAD3
SMAD3	YAP1
PPARG	CTNNB1
CTNNB1	LEF1
PPARG	UBC
CTNNB1	TCF7L2
PPARG	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
PPARG	PHB2
PPARG	JUN
PPARG	STAT5A
PPARG	APP
APP	SHC1
SHC1	STAT5B
EP300	STAT1
EP300	REL
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
JUN	CCND3
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
STAT1	MYC
STAT1	CCND3
STAT3	MYC
STAT3	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
REL	CSRP1
STAT3	CSRP1
RELA	HDAC2
JUN	MYC
RELA	MYC
RELA	S100A6
