HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRDC3	ITCH
ITCH	TP53
ARRB2	MAPK1
MAPK1	RXRA
ARRDC3	NEDD4
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	HDAC2
HDAC2	PPARD
MAPK1	ATF2
ARRDC3	ADRB2
ADRB2	STAT3
MAPK1	SP1
ITCH	JUN
JUN	CREB3
ITCH	PTCH1
PTCH1	ATF6B
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	IGF1R
IGF1R	ESR1
NEDD4	ERBB3
ERBB3	EGR1
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	POLR2E
POLR2E	FOS
ARRB2	PRMT5
PRMT5	RELA
MAPK1	CEBPB
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
ARRB2	C1QBP
C1QBP	CEBPA
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
HSP90AA1	ARNT
ARRB2	UBC
UBC	ATF6
ARRB2	CDK3
CDK3	PPARA
NFKBIA	NFKB1
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
ARRB2	XRCC6
XRCC6	POU2F1
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
CREB3	NPY
CREB3	BDNF
CREB1	NPY
CREB1	BDNF
ATF2	NPY
ATF2	BDNF
ATF6B	NPY
ATF6B	BDNF
ATF4	NPY
ATF4	BDNF
CREB3L2	NPY
CREB3L2	BDNF
CREB3L1	NPY
CREB3L1	BDNF
CREB5	NPY
CREB5	BDNF
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CREBBP	HK1
CREBBP	SERPINE1
EP300	HK1
EP300	SERPINE1
HIF1A	HK1
HIF1A	SERPINE1
ARNT	HK1
ARNT	SERPINE1
STAT3	SOCS5
STAT5A	SOCS5
STAT5B	SOCS5
TP53	DDB2
TP53	SERPINE1
TP53	PTEN
TP53	ZMAT3
TP53	PPM1D
TP53	CCNG2
PPARA	EHHADH
PPARD	ILK
PPARD	UBC
RXRA	EHHADH
RXRA	ILK
RXRA	UBC
RXRB	EHHADH
RXRB	ILK
RXRB	UBC
RXRG	EHHADH
RXRG	ILK
RXRG	UBC
CEBPA	TWF2
CREB1	TWF2
EGR1	AKR1B1
NFKB1	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
CEBPB	CSRP1
STAT3	CSRP1
MYC	DDX18
MYC	EIF4E
CEBPA	GPX4
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
ESR1	HSPB1
SP1	HSPB1
E2F4	PCNA
TP53	PCNA
ATF2	PLAT
CREB1	PLAT
JUN	PLAT
NFIC	PLAT
TFAP2A	PLAT
E2F4	POLE2
NFIC	POLE2
MYC	PTMA
ESR1	PTMA
EGR1	SERPINE1
ESR1	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
SP1	SERPINE1
EGR1	SOD1
SP1	SOD1
JUN	TXN
POU2F1	TXNRD1
ATF6	XBP1
