HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB1
PRKCA	MTOR
MTOR	PPARG
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	HRAS
HRAS	JUN
PRKCA	RAF1
RAF1	NFKB1
MAPK1	ELK1
ELK1	EGR1
HRAS	MAPK14
MAPK14	CEBPB
RAF1	RELA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
NFKB1	CCL5
MAPK12	IL8
MAPK1	CCND1
NFKB2	BIRC2
CREB3L3	BCL2
PPARD	UBC
RXRA	ACSL1
RXRB	ACSBG1
NFKB1	IL18
USF2	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
SP1	CAV1
USF2	CEACAM6
ATF1	CGA
MYC	EIF4E
ATF1	PPP2R4
ATF2	PTGS2
