CREB3L3	FOSB
CREB3L1	NPY
ATF6B	FOS
ATF4	FOS
ELK1	XIAP
ATF6B	IL8
FOS	MMP9
MAPK8	JUN
MAPK9	SMAD4
CREB3L2	IL8
CREBBP	ENO1
CREBBP	GAPDH
CREBBP	ANGPT4
CREBBP	PFKFB2
CREBBP	BCL2
EP300	ENO1
EP300	GAPDH
EP300	ANGPT4
EP300	PFKFB2
EP300	BCL2
HIF1A	ENO1
HIF1A	GAPDH
HIF1A	ANGPT4
HIF1A	PFKFB2
HIF1A	VEGFA
ARNT	PFKFB3
FOXO1	PCK1
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
MAPK1	IL18
MAPK1	NOS2
MAPK11	IL18
MAPK11	NOS2
NFKB1	REL
POU2F1	REL
SP3	ABCA1
USF1	CCNB1
USF2	CCNB1
CREB1	F3
CEBPB	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CREB1	HMOX1
RELA	IL2
STAT1	IL2RA
ATF2	INS
SP1	ITGA2
USF1	PTPN6
RARA	S100A8
NFKB1	SAA2
PPARD	SERPINE1
USF2	SERPINE1
EGR1	SOD1
POU2F1	SPP1
CREB1	TF
ATF1	TG
ATF1	TH
EGR1	THBS1
STAT1	TIMP1
CEBPB	TNF
ETS1	TNNC1
NFKB1	TNNC1
TFAP2A	TNPO1
STAT1	TP53
FOS	TSHB
PAX1	VHL
ETV4	VIM
