GLI3	HHIP
TFDP2	CCNE2
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
ELK1	CCND2
CREBBP	FASLG
ATF6B	IL8
RELA	IL6
STAT1	MYD88
CREBBP	EGF
CREBBP	ENO1
CREBBP	PFKL
CREBBP	TEK
EP300	EGF
EP300	ENO1
EP300	PFKL
EP300	TEK
HIF1A	EGF
HIF1A	ENO1
HIF1A	TIMP1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
TEAD1	SOX2
TEAD3	CTGF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	PTCRA
RBPJ	HES1
TP53	PTEN
TP53	BAI1
MAPK1	IL1A
MAPK1	IL1B
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MYBL2	CDKN1C
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
SP1	ADA
TP53	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP3	CD14
EGR1	CD44
USF1	CEACAM6
USF2	CEACAM6
ATF1	CGA
SP1	DKC1
TFAP2A	EGFR
TP53	EGFR
USF1	FBP1
TFAP2A	HMOX1
FLI1	MMP9
SPI1	NFKB1
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
TP53	PTTG1
USF1	S100A6
RARA	S100A8
NFIC	SFTPC
WT1	SOD1
LEF1	SPP1
POU2F1	SPP1
HOXA4	TH
USF2	THBS1
SP1	TIMP1
STAT1	TIMP1
SMAD4	TNNC1
CEBPB	TOP1
PAX8	TP53
STAT1	TP53
