AR	PRKACA
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	JUN
MAPK1	ETS1
PRKACA	RELA
NFKB1	HIF1A
MAPK1	MYC
NFKB1	TP53
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
MAPK1	FOS
MAPK1	STAT1
PRKACA	CREBBP
CREBBP	EPAS1
MAPK1	STAT3
TFDP2	CCNE2
EP300	PDK1
STAT4	SOCS5
STAT5B	SOCS3
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RXRA	ACADM
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100509457
RFX5	HLA-DQA1
RFX5	HLA-DQA2
MYC	DDX18
ERG	HMOX1
SPI1	NFKB1
FLI1	TNNC1
