AR	PRKACA
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	RELA
PRKACA	MAPK1
MAPK1	JUN
NFKB1	NFKB2
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD2
SMAD2	E2F4
NFKB1	TP53
NFKB1	IFNG
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	CREM
NFKB1	CEBPB
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	ATF2
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
MAPK1	ETS1
ETS1	SPI1
MAPK1	STAT1
MAPK1	FOS
NFKB1	TNF
STAT3	CPT1C
STAT3	CPT1B
CREB3L3	ARC
CREB3L3	FOS
RELA	BIRC3
RELA	XIAP
GLI1	WNT8A
GLI1	WNT8B
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CCND3
CREB3L4	IL8
EGR2	FASLG
CREB3L3	PCNA
CREBBP	ENO3
CREBBP	ALDOA
CREBBP	TIMP1
EP300	ENO3
EP300	ALDOA
EP300	TIMP1
HIF1A	ENO3
HIF1A	ALDOA
STAT5A	CCND1
STAT5A	CCND3
STAT6	MYC
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
RELA	BCL2A1
RELB	CCL21
PIK3CD	AKT1
RBPJL	HES1
TP53	RCHY1
TP53	RRM2B
TP53	PIDD
STAT1	CXCL9
MYD88	IFNA7
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
WT1	ABCB1
ATF2	CGA
EGR1	COL2A1
SP3	COL2A1
ETS1	FOSL1
ETS2	FOSL1
PPARG	GADD45A
RARA	GADD45A
MYC	ID2
FLI1	ID2
JUN	IVL
JUNB	IVL
PGR	KLK3
SP3	KLK3
PPARG	LIPA
USF1	LIPC
ATF1	PLAUR
SP2	PLP1
EGR1	RELA
RARG	S100A8
RARB	S100A9
SMAD2	SP1
SP1	SPP1
SP1	TAF7
ETS1	TIMP1
TFAP2A	TIMP1
CEBPA	TK1
EGR1	TP53
USF1	TP53
SP1	TPI1
