SLC12A2	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	MAPK1
MAPK1	JUN
NFKB1	TP53
MAPK1	STAT3
PRKACA	RELA
MAPK1	ELK1
ELK1	EGR1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREB1
PRKACA	GSK3B
GSK3B	ARNTL
PRKACA	PRKAG2
PRKAG2	CRY1
CRY1	NPAS2
GSK3B	CLOCK
PML	CCNA1
RARA	CCNA1
ZBTB16	CCNA1
GLI3	WNT7A
GLI3	WNT2B
GLI3	WNT5B
NR1H4	ABCB4
E2F1	CCNE2
SMAD2	CDKN2B
EP300	GAPDH
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
MAPK3	CDK4
NFYA	LOC100509457
NFYB	HLA-DPA1
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
MYB	TSC22D3
MYBL1	TSC22D3
ATF3	ASNS
CREB1	ATP1A1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ETV4	HPGD
SP1	HRAS
CEBPB	ICAM1
E2F1	MYB
MYB	MYB
MYC	MYC
NFKB1	MYC
RELA	MYC
MYB	NCL
CEBPB	TNF
ETS1	VWF
ETS2	VWF
NFIC	VWF
