CHRNA3	JAK2
JAK2	PIK3R5
PIK3R5	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
PIK3R5	AKT3
AKT3	JUN
PIK3R5	HRAS
HRAS	FOS
JAK2	PTPN11
PTPN11	MAPK1
MAPK1	ETS1
STAT3	BCL2
BCL2	TP53
ETS1	SPI1
STAT3	MYC
MAPK1	ELK1
ELK1	EGR1
AKT3	CREB1
AKT3	NFKB1
AKT3	RELA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GLI3	WNT5A
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
NFKB2	TRAF5
IRF1	IL12B
PPARA	DBI
PPARA	APOC3
PPARG	ACSL1
PPARG	ANGPTL4
NFYB	HLA-DQB1
NFYC	HLA-DQB1
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
CREB1	CCND1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
JUN	MT1A
