CHRNA3	JAK2
JAK2	PIK3R5
PIK3R5	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PIK3R5	AKT3
AKT3	NFKB1
AKT3	JUN
JAK2	STAT3
STAT3	BCL2
BCL2	TP53
AKT3	RELA
JAK2	PTPN11
PTPN11	MAPK1
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS1
STAT3	ESR1
ESR1	SP1
STAT3	MYC
PIK3R5	HIF1A
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	HRAS
HRAS	FOS
PTPN11	MAPK3
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
STAT3	PPARGC1A
PPARGC1A	PPARA
AKT3	ATF4
CREB3L3	CRH
CREB3L3	NPY
CREB5	FOSB
JUN	CXCL1
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
STAT3	SOCS2
STAT3	CCND3
PAX6	INS
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
EPAS1	TGFB2
MYC	CKS1B
MYC	VEGFA
RELA	CCND1
CREB3L4	MCL1
PPARA	ACSL4
PPARA	SCP2
PPARG	GK
RXRA	NR1H3
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK1	IL12B
RFXAP	HLA-DOA
MAPK12	IL1B
RFXANK	HLA-DMB
RFXANK	HLA-DOA
CREM	CCND1
POU2F1	CCND1
SP3	COL2A1
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
SP3	DNASE2
JUN	F3
JUND	F3
TFAP2A	GH2
USF1	GH2
USF2	GH2
TFAP2A	HMOX1
REL	IL2
SP1	IL2
STAT5A	IL2RA
NFIC	POLE2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
