CHRNA3	JAK2
JAK2	STAT3
STAT3	MYC
JAK2	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
STAT3	ESR1
ESR1	SP1
NFKB1	CEBPB
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
AKT3	JUN
AKT3	CREB1
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUND
AKT3	CREB3
CREB3	ATF1
AKT3	ATF2
JAK2	PTPN11
PTPN11	MAPK1
MAPK1	ETS1
AKT3	CHUK
CHUK	NFKB2
CHUK	RELB
NFKB1	CCL5
MAPK12	IL8
STAT5A	SOCS2
STAT5A	SOCS5
STAT5B	SOCS4
STAT6	CCND1
STAT6	CCND2
STAT6	CCND3
RXRB	ACSBG1
RXRG	EHHADH
IRF7	IFNA8
MAPK8	IL18
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MYB	TSC22D3
MYBL1	TSC22D3
USF1	APOC3
ESR1	APOE
PPARG	APOE
USF2	APOE
TP53	AQP1
SP1	CAV1
MYC	CCNB1
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
REL	CSRP1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ATF1	PPP2R4
ATF2	PTGS2
