PTGS2	ADCY5
ADCY5	PRKACA
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	ETS2
PRKACA	XBP1
XBP1	CEBPA
PRKACA	NFKB1
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	ELK1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
NFKB1	HIF1A
MAPK8	TP53
PRKACA	EP300
CREBBP	ARNT
MAPK8	JUN
MAPK1	ETS1
PRKACA	CTNNB1
CTNNB1	LEF1
PDPK1	AKT3
AKT3	CREB1
PDPK1	PRKCA
PRKCA	MAPK1
PRKCA	PRKACA
AKT3	NFKB1
MAPK1	ELK1
AKT3	CREB3
CREB3	CREBBP
AKT3	RELA
AKT3	MTOR
MTOR	HIF1A
NFKB1	TP53
CREB3	EP300
HIF1A	ARNT
AKT3	JUN
CREBBP	LEF1
ATF4	IL8
CREBBP	HK2
EP300	HK2
HIF1A	HK2
STAT4	SOCS5
STAT5B	SOCS3
PAX6	PDX1
RXRG	EHHADH
IRF7	IFNA8
MAPK14	IL1A
MYD88	IFNA6
MYD88	IFNA8
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
RFXANK	HLA-DMB
RFXANK	HLA-DOA
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	FOSL1
NFKB1	REL
SP1	COL4A2
SP1	ADA
CREB1	ADRB2
SP1	CAV1
SP1	CD14
SP1	CYP21A2
SPI1	SERPINB1
JUN	TFPI2
ELK1	TNF
POU2F1	TXNRD1
