PDE3A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
MAPK8	ELK1
ELK1	EGR1
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
MAPK8	TP53
PRKACA	MAPK1
MAPK1	ETS1
MAPK8	FOS
PRKACA	RELA
MAPK1	STAT3
PRKACA	PPARA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	MYC
RAPGEF3	MAPK14
MAPK14	AKT3
AKT3	IRF3
MAPK1	STAT1
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	XBP1
XBP1	CEBPA
NPAS2	PER2
CLOCK	RORC
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
TCF7L1	MITF
RELA	PTGS2
RELA	TRAF1
RELB	CCL19
PIK3R5	AKT1
PIK3CB	AKT2
PIK3CD	AKT3
PIK3CD	PDPK1
PIK3R1	PDPK1
PLCG2	EGFR
EPAS1	TGFB2
MYC	CKS1B
RELA	CCND1
PPARA	ACSL4
PPARG	GK
RXRA	ACSBG1
RXRA	UCP1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRB	CYP4A22
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
MAPK9	IL12A
MAPK9	IL12B
RFX5	LOC100507709
MYB	TSC22D3
MYBL1	TSC22D3
CREM	CCND1
POU2F1	CCND1
ELK1	CCT8
ESR2	CD68
SPI1	CD68
POU2F2	CD79A
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUN	FOSL1
TFAP2A	GH2
USF1	GH2
USF2	GH2
BRCA1	PCNA
FOS	PDHA1
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
