HRH2	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	MYC
HRAS	FOS
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	MTOR
MTOR	PPARG
GNB5	MAPK3
STAT3	STAT1
STAT1	MYD88
NPAS2	RORC
NPAS2	BHLHE40
NPAS2	PER2
CLOCK	RORA
CLOCK	RORC
SOS1	SPRY1
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
MAX	CKS1B
MYC	CDK4
NFKB2	TRAF5
RELA	NOS2
PPARA	DBI
PPARA	ACSL3
PPARG	ACSL1
PPARG	ACSL6
RXRA	UCP1
RXRB	CYP4A22
RFXANK	HLA-DMA
CEBPA	FN1
WT1	ODC1
NFIC	PCK2
BRCA1	PCNA
SP1	PDGFB
FOS	PDHA1
