HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	STAT3
MAPK1	STAT1
HRAS	JUN
HRAS	RAF1
RAF1	NFKB1
MAPK1	ETS1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
HRAS	FOS
STAT3	STAT4
RAF1	RELA
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI2
GSK3B	GLI3
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	CREB1
CREBBP	EPAS1
MAPK1	TP53
MAPK1	ETS2
STAT3	PIM1
RELA	BIRC2
GLI1	WNT1
GLI1	WNT7B
GLI2	GLI1
NFATC1	TNF
NFATC4	TNF
CREBBP	HMOX1
CREBBP	NOS2
EP300	HMOX1
EP300	NOS2
HIF1A	HMOX1
HIF1A	NOS2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	PGF
SMAD4	SERPINE1
TEAD1	BIRC2
TEAD3	MYC
VDR	S100G
NFKB1	NFKB2
NFKB1	CCL4
NFKB1	CFLAR
NFKB2	CCL21
NFKB2	CXCL12
RELA	TRAF1
RELA	VCAM1
PIK3R5	AKT1
PIK3R5	AKT2
PIK3CD	PDPK1
PIK3CG	AKT1
NFYA	LOC101060835
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
NFKB1	B2M
SPI1	CD68
POU2F2	CD79A
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
SP3	CYP17A1
CEBPB	F8
NFKB1	F8
AR	F9
NFKB1	FBP1
NFIC	HSPA1A
NFKB1	KLK3
CREB1	LDHA
PPARD	LIPA
SP1	MAT2B
SP1	SERPINB2
EPAS1	SERPINE1
NFKB1	TFPI2
ATF1	TFRC
ETV4	TNF
SP3	TNF
USF1	TYMS
ESR1	UBE2L3
ETS1	VWF
ETS2	VWF
NFIC	VWF
