STAT3	PIM2
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
EGR3	FASLG
MAPK10	SMAD4
CREBBP	FIGF
CREBBP	PFKFB4
EP300	FIGF
EP300	PFKFB4
HIF1A	FIGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
HNF1A	HNF4G
EPAS1	FIGF
RXRB	MMP1
RXRB	PCK1
RXRG	ACSL3
RXRG	ACSL6
RXRG	ACADM
RXRG	AQP7
RXRG	ANGPTL4
RXRG	PLIN1
IRF7	IFNA17
JUN	IL6
JUN	TNF
NFKB1	IL12B
STAT1	CXCL11
SPI1	ITGAM
MAPK10	NOS2
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
BRCA1	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
E2F4	HSP90B1
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
USF2	PTGS2
RARG	S100A9
POU2F1	SFTPA1
TFAP2A	TAF7
CREM	TH
ATF1	TNF
SMAD3	TNNC1
CREB1	TRH
