ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	E2F4
PIK3R5	AKT3
AKT3	NFKB1
PRKCA	CREB1
PRKCA	FOS
PRKCA	ATF2
AKT3	JUN
PRKCA	ATF4
PIK3R5	GSK3B
GSK3B	MYC
MAPK1	STAT1
MAPK1	ESR1
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUND
PRKCA	CREB3
PRKCA	CREB3L2
PRKCA	CREB3L1
AKT3	RELA
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	ELK1
ELK1	EGR1
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKCA	ATF6B
PRKCA	CREB5
MAPK1	STAT3
AKT3	PPP1CA
PPP1CA	YAP1
EGFR	STAT5A
EGFR	STAT5B
EGFR	SOS1
EGFR	SOS2
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
YAP1	BBC3
PRKCA	PRKACA
PRKACA	PPARA
MAPK1	SMAD3
PRKACA	PSEN1
PSEN1	ATF6
STAT5A	STAT4
STAT5A	STAT2
STAT5A	STAT6
NFKB1	MYB
PRKACA	CREM
HIF1A	EP300
JUP	MYC
JUP	CCND1
GLI3	HHIP
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
CLOCK	BHLHE41
CLOCK	PER2
CLOCK	NR1D1
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ATF2	IL8
CREBBP	CDKN1B
EP300	CDKN1B
ARNT	EDN1
ARNT	ENO1
YAP1	ID3
YAP1	ID4
YAP1	AXIN2
YAP1	NKD1
WWTR1	AREG
WWTR1	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
SOS1	SPRY3
NEUROG3	PAX6
PAX6	GCK
HNF1A	HNF4A
CREB3L4	MITF
MITF	TYRP1
LEF1	MITF
MAPK3	CCND1
RBPJL	HES5
RBPJ	HES1
TP53	RPRM
TP53	BAI1
EPAS1	PGF
NFYB	HLA-DRB1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL12B
MAPK3	IL18
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK11	IL12B
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
CREM	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ATF4	CGA
CREB1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
USF2	CTSB
SP1	CTSL
SP3	CTSL
PAX5	FCER2
CEBPA	FN1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
ERG	HMOX1
TFAP2A	HMOX1
CEBPB	HP
CREB1	HPGD
FLI1	MMP9
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
TP53	NME1
MYC	NME2
FOS	NQO1
JUND	NQO1
RELA	NR4A1
MYC	NRAS
JUN	NRAS
MYB	NRAS
JUN	PDHA1
PAX6	PDHX
ATF2	PENK
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RPL15
ETV4	SPP1
SMAD3	TIMP1
